task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T10:33:30,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,90.00354268999945,0.0006906281054789788,7.673343277500212e-06,13.154745274490914,17.550122707363535,20.0,0.00038827663339883675,0.0009075279482438914,0.0005171055259277637,0.0018129101075704918,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T10:33:30,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,0.3011894930023118,3.834656402840805e-06,1.273112364215222e-05,21.482018526919386,32.33583253920921,20.0,3.213800348815174e-06,5.179448588021884e-06,1.672787033344834e-06,1.0066035970181892e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T10:33:30,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,0.18399118200613884,2.4031092759067884e-06,1.3061599107634151e-05,24.311898749427964,41.87280812687904,20.0,1.6943838555046747e-06,3.594447320010019e-06,1.0193700999984977e-06,6.3082012755131915e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T10:33:33,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,2.323385182004131,2.788224197827543e-05,1.2000718538284442e-05,25.60787282309959,46.820782737026356,20.0,1.7295501614167375e-05,4.298920105805237e-05,1.290663996664481e-05,7.319134263886456e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T10:33:33,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,0.11740310399909504,1.3114137485916366e-06,1.1170737572151814e-05,25.997416147500285,48.56274859391848,20.0,9.266476857609784e-07,1.8650014920185143e-06,6.508334277896067e-07,3.442482605569208e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T10:33:35,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,2.1562925160033046,2.5978007970571212e-05,1.204751923494864e-05,26.148304763907056,51.41995964044812,20.0,1.5150747120587851e-05,4.1063921739858955e-05,1.19780282666599e-05,6.81926971271066e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T10:33:35,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,0.11022027600120055,1.328647222218404e-06,1.2051897969504632e-05,27.086520539816092,52.45603348863112,20.0,1.0494975062631112e-06,1.826668128090958e-06,6.115551222238757e-07,3.4877207565780534e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T10:33:37,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,2.1606298279948533,2.5008081579301015e-05,1.1574479336258419e-05,27.4754331615174,53.83946374000355,20.0,1.4689000084522688e-05,3.895475338588916e-05,1.2002870966656108e-05,6.564662443706796e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T10:33:37,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,0.10616247200232465,1.2238862019830652e-06,1.152713009217649e-05,27.333214734400542,54.6934041434033,20.0,7.834695156649224e-07,1.8397236940526085e-06,5.895281499963432e-07,3.2127213597139825e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T10:33:40,td3_HalfCheetah-v5_seed14577,ed3408a6-3cfa-4db8-b461-cdec5026adb4,2.1414274240014493,2.6163286780892274e-05,1.2217719170238606e-05,27.232766358639342,55.98170933117341,20.0,1.5824743770896654e-05,4.0959199434142946e-05,1.1895113838909267e-05,6.867905704394887e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
