task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T11:09:31,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,90.0035013279994,0.0006074467779666491,6.7491460846685565e-06,8.060840331986208,13.149535479749854,20.0,0.0003973643790023615,0.0006800372106960939,0.000517156168449987,0.0015945577581484424,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T11:09:31,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,0.30005079400143586,3.549115653418743e-06,1.1828019592155305e-05,17.824183486397903,26.762644261219293,20.0,3.142033624736057e-06,4.50583693800688e-06,1.6686162555237414e-06,9.316486818266786e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T11:09:32,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,0.18583940400276333,2.2997602466289825e-06,1.2375555839847391e-05,21.593730453130153,36.044246379112735,20.0,1.7168310956876265e-06,3.2905581879294488e-06,1.029519094461473e-06,6.036908378078548e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T11:09:34,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,2.209103707995382,2.7174301649044103e-05,1.2301080725817698e-05,23.554456239691312,42.412343205673814,20.0,1.7435305892678915e-05,4.1632533306135144e-05,1.2265148461099444e-05,7.133298765991361e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T11:09:34,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,0.11398062700027367,1.353938648530049e-06,1.188005198575593e-05,25.418026356457236,44.85032649917833,20.0,1.118975895178509e-06,1.803334775951626e-06,6.318004944559467e-07,3.5541111655860817e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T11:09:36,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,2.191082955003367,2.672406393488245e-05,1.2196797167646231e-05,26.367362583875916,48.22402930977744,20.0,1.6285388861635164e-05,4.168836668405618e-05,1.2177350727789519e-05,7.015110627348075e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T11:09:36,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,0.11251716900005704,1.3124182443491512e-06,1.1662533246427569e-05,27.155932729120792,49.32902914084283,20.0,1.039325275901254e-06,1.781668091949129e-06,6.241260555624314e-07,3.4451194234129227e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T11:09:38,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,2.185914570996829,2.66036560430538e-05,1.2170556797369845e-05,27.545749404931716,51.443170344666626,20.0,1.6191021841693853e-05,4.1501699868051745e-05,1.214231187223044e-05,6.983503358197604e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T11:09:39,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,0.10459889900084818,1.2707548637071794e-06,1.2148554176423055e-05,28.093691640392148,52.42420547980237,20.0,9.778324489319312e-07,1.7777792000739367e-06,5.80140716677593e-07,3.3357523656835694e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T11:09:41,td3_HalfCheetah-v5_seed14577,ca6b4395-b98b-4426-98dd-a65314bb773e,2.184031441996922,2.6601216101790662e-05,1.2179908975231006e-05,28.349655700850125,53.8772743579347,20.0,1.619948184846537e-05,4.1497255419908896e-05,1.213189142775569e-05,6.982862869612996e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
