task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T21:11:28,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,90.00268495200726,0.0006060336037881616,6.7335057381512405e-06,12.639849866184864,12.82420870940098,20.0,0.0004103616569001746,0.0006632788639557852,0.000517207631888919,0.0015908481527448788,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T21:11:29,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,0.30294101900653914,3.569149245943111e-06,1.1781130269442424e-05,20.57899401103759,26.756031927709326,20.0,3.089797471836353e-06,4.596670344358955e-06,1.6826075111263947e-06,9.369075327321594e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T21:11:29,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,0.2016319550020853,2.3108849927606576e-06,1.1460977767261962e-05,23.551172448042244,33.97495751316222,20.0,1.8363411912920846e-06,3.1116691556754006e-06,1.1181006722229842e-06,6.0661110191904694e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T21:11:32,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,2.3651437450025696,5.0414707977918406e-05,2.1315737691068335e-05,24.901520794220975,58.27915836946229,20.0,1.7078505329459065e-05,0.00010212591503400148,1.313501520004744e-05,0.00013233943556350799,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T21:11:32,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,0.11749424299341626,1.8193622540903492e-06,1.5483120125846723e-05,25.21850519228688,65.09364441826551,20.0,8.904334901239236e-07,3.233613698139237e-06,6.518085778224863e-07,4.775855766085647e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T21:11:34,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,2.2500804370065453,4.994859060870698e-05,2.219862792729997e-05,25.453672178911372,79.0509772765184,20.0,1.6882667395011833e-05,0.00010173508138811016,1.249812103891999e-05,0.0001311158698220421,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T21:11:34,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,0.11342022300232202,1.6448575696311656e-06,1.4499657836788316e-05,26.466482471562745,79.54264263516062,20.0,1.0763361388450854e-06,2.6122243119708344e-06,6.29217655579036e-07,4.317778106395064e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T21:11:36,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,2.2570288849965436,4.969134930874776e-05,2.2016358509776208e-05,26.92917377852286,88.84636314069968,20.0,1.554950938404201e-05,0.00010235397077185127,1.2537127033364261e-05,0.00013044060718925775,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T21:11:37,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,0.11386008199770004,1.3645063794220187e-06,1.1983859617022296e-05,27.571700604987388,85.89986136393131,20.0,1.0738100257139116e-06,1.8763903901763967e-06,6.316512166651888e-07,3.5818516325556056e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T21:11:39,td3_HalfCheetah-v5_seed14577,d97648aa-8771-448d-8aa3-dbbe2d5939ca,2.2568173319887137,4.829024054779055e-05,2.139766055202668e-05,27.82712942036957,92.42568638768726,20.0,1.5338955604488058e-05,9.888230132792941e-05,1.254141677224348e-05,0.00012676267370466095,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
