task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T19:41:56,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,90.00281026099401,0.0005913874545394612,6.570766191204942e-06,11.388150720090124,12.331807677059691,20.0,0.00039758505473445893,0.0006376996768260312,0.0005171170391166622,0.0015524017706771522,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T19:41:57,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,0.30642966998857446,3.5521590079449225e-06,1.1591593334322222e-05,19.655161491001863,25.716114812396242,20.0,3.1194166621936747e-06,4.4933369283128854e-06,1.7117220833218986e-06,9.324475673828459e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T19:41:57,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,0.20386499199958052,2.3167670736122395e-06,1.1364861200471513e-05,22.66650571796556,33.17219234335285,20.0,1.8125203389007805e-06,3.1391691779347752e-06,1.1298620610937287e-06,6.081551577929393e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T19:42:00,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,2.357441285988898,3.7337657041479734e-05,1.5838226333034298e-05,24.059607600827643,47.36437960323874,20.0,1.6715719761459247e-05,6.819838789162702e-05,1.3097854655562575e-05,9.801196230864884e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T19:42:00,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,0.11654524900950491,1.4859816475259243e-06,1.275017877921656e-05,25.63156786359255,50.56957038530496,20.0,1.1032422714829515e-06,2.1516683883504584e-06,6.458155444610293e-07,3.900726204294439e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T19:42:02,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,2.238113578001503,3.468551454330945e-05,1.5497739096092607e-05,26.243203985465424,58.15950473941315,20.0,1.4159911050144747e-05,6.445866267767997e-05,1.2431471011142229e-05,9.105004473896694e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T19:42:02,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,0.1183491679985309,2.3050275994135035e-06,1.9472497782650422e-05,26.128174829161043,68.19322375788644,20.0,8.468612330420067e-07,4.547225860296322e-06,6.566481722176422e-07,6.050735265555971e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T19:42:04,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,2.2152944349945756,3.565524171370905e-05,1.6095113142497156e-05,26.07119933258991,72.38155036844513,20.0,1.613720902086252e-05,6.515282990005034e-05,1.2305555550038805e-05,9.359559447095155e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T19:42:04,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,0.11646204600401688,1.4712457782956783e-06,1.2632398028824075e-05,26.66584793601581,71.8348543513913,20.0,1.0535325094956915e-06,2.162501729685573e-06,6.460100666218866e-07,3.862044305803043e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T19:42:07,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,2.2250675359973684,3.539909875676945e-05,1.5909258636723522e-05,26.969951907034712,74.78955025996429,20.0,1.608288814407277e-05,6.44806071403714e-05,1.2359719722169538e-05,9.29232150066136e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-15T19:42:07,td3_HalfCheetah-v5_seed331,060640bc-f6d9-4e06-9339-2e41590b9181,0.10947693200432695,1.6169768308311409e-06,1.4768796572993139e-05,27.420151673391914,75.7789165391667,20.0,1.0031788580944223e-06,2.6338909959733314e-06,6.075208555557507e-07,4.244590709623613e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
