task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T20:56:05,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,90.00278776000778,0.0005886080639026374,6.539886786856145e-06,8.658253243865351,12.006683658074895,20.0,0.0004074185639901455,0.0006207141076823852,0.0005169731529832966,0.0015451058246558273,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T20:56:05,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,0.30738134498824365,3.572589602509257e-06,1.1621925195462425e-05,17.75000241086904,25.88352947542738,20.0,3.0900858053999752e-06,4.580559219924396e-06,1.7074612944270161e-06,9.378106319751387e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T20:56:06,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,0.2050331149948761,2.3878473976965712e-06,1.164701665943227e-05,21.36347361457637,33.84052058289272,20.0,1.851617036848028e-06,3.280280402417901e-06,1.13624115555364e-06,6.268138594819677e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T20:56:08,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,2.39957444499305,5.0905282705753516e-05,2.1214361779174564e-05,23.151273073813208,57.87188622308031,20.0,1.7677903308977328e-05,0.00010262202654143238,1.3327272422207449e-05,0.00013362720227261715,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T20:56:08,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,0.1196310240047751,1.8996506956703903e-06,1.587871652252148e-05,24.89994971853059,64.22792480710662,20.0,1.1371845208578077e-06,3.1861136604582896e-06,6.633160611575284e-07,4.986614242473734e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T20:56:10,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,2.3065666899929056,4.948306810204127e-05,2.145318201013549e-05,25.810891595815438,77.36657971175657,20.0,1.702104750571625e-05,0.00010006119115990586,1.281162693889603e-05,0.00012989386560451825,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T20:56:11,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,0.1158235449984204,2.097536277681066e-06,1.8106230484087357e-05,26.605034020935918,82.56062392277428,20.0,1.052718897730058e-06,3.8125030497049295e-06,6.408451943975364e-07,5.5060671418324155e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T20:56:13,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,2.321020685994881,5.044066197254873e-05,2.173216870656943e-05,26.941556504202556,91.24528488456154,20.0,1.5862416023255943e-05,0.00010364786069638754,1.2897288505579773e-05,0.00013240756522522315,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T20:56:13,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,0.11383887600095477,1.307367286208479e-06,1.1484255263633255e-05,26.776250320390766,88.32542060539303,20.0,8.205992675907464e-07,1.975001580056812e-06,6.362597277782779e-07,3.431860575425945e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T20:56:15,td3_HalfCheetah-v5_seed331,6bb30b05-42b8-4ff1-ad88-36414a4bcffe,2.2978892109968,4.990888030139524e-05,2.171951081921595e-05,26.677484925653246,94.7274185932201,20.0,1.692549381816181e-05,0.00010132146994568103,1.2764665850004868e-05,0.0001310116296138475,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
