task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T12:45:58,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,90.00339035700017,0.0006167203434260262,6.852189814037182e-06,17.925946204103937,12.991709394010812,20.0,0.0004303052661883827,0.0006716291484141212,0.0005169666050221874,0.0016189010196246913,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T12:45:59,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,0.29748002100677695,3.532097328041669e-06,1.1872949295777038e-05,24.369391532500078,26.89051038590632,20.0,3.1015808145892776e-06,4.518336948144963e-06,1.6518956722090094e-06,9.27181343494325e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T12:45:59,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,0.19909549498697743,2.308916637984719e-06,1.1597831385339996e-05,26.570309960916745,34.24755167569939,20.0,1.8527020377162584e-06,3.105835817862612e-06,1.1024062000311889e-06,6.060944055610168e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T12:46:01,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,2.0354176809923956,2.927630260575844e-05,1.438344976418537e-05,27.647286654002862,44.67070167900463,20.0,1.6716601428823363e-05,4.8827261284190016e-05,1.1306911944443995e-05,7.685077465745737e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T12:46:01,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,0.11582482799713034,1.370905118231445e-06,1.1836896093031686e-05,29.04731592481599,46.450211182118316,20.0,1.1802481664213715e-06,1.7769458660055193e-06,6.41454394483096e-07,3.5986484269100952e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T12:46:03,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,2.1562100010050926,2.9356930620198112e-05,1.3615077882586857e-05,29.641146178676994,51.40496559607469,20.0,1.6496773475184467e-05,4.85886499819177e-05,1.19770010610713e-05,7.706242451817336e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T12:46:03,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,0.11325491800380405,2.1767331560442306e-06,1.9217703299421416e-05,30.303220719662136,60.77420298367033,20.0,1.1182300612561091e-06,3.96805873004169e-06,6.276714555699704e-07,5.71396024686777e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T12:46:06,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,2.1659307880036067,2.923111052546487e-05,1.349590214252387e-05,30.524903784231842,62.96650618530647,20.0,1.6271299961470587e-05,4.84297609659734e-05,1.2031083777805569e-05,7.673214470524966e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T12:46:06,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,0.11395561200333759,1.4484178814538635e-06,1.2708953436398794e-05,30.76128093940314,63.20097633182654,20.0,1.0720636354349944e-06,2.090279449973309e-06,6.397776166623377e-07,3.8021207020707496e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T12:46:08,td3_HalfCheetah-v5_seed43611,2f61d06a-8864-4352-a5c8-5fb7a4777a64,2.1899522800085833,2.9973087156517117e-05,1.3686688365457452e-05,30.77144426340765,64.9544969660945,20.0,1.6343168630091054e-05,5.0172540138060384e-05,1.2164136766740674e-05,7.8679845534892e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
