task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T18:29:07,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,90.00479096200434,0.0006523692794784108,7.248161461621326e-06,18.861113858517392,14.613753452354185,20.0,0.0004400448153689049,0.0007554744932678492,0.0005169607529944591,0.0017124800616312133,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T18:29:08,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,0.29818801500368863,3.6695020615754546e-06,1.2305680887662223e-05,25.23890873609892,29.087794821704886,20.0,3.170719758794488e-06,4.806114956013019e-06,1.6556683999725602e-06,9.632503114779959e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T18:29:08,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,0.2013276290090289,2.415445024835745e-06,1.1998144811728392e-05,27.391379433754786,36.65781356023287,20.0,1.9115837514849243e-06,3.313335984023169e-06,1.1156630833283627e-06,6.340582818836456e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T18:29:12,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,3.915378502002568,5.647040532892405e-05,1.442272866275862e-05,28.471818316783345,46.65908683352576,20.0,3.2239882736331826e-05,9.424729761997597e-05,2.1748560105495766e-05,0.00014823574046180345,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T18:29:12,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,0.11335373000474647,2.276938264592055e-06,2.008840961530893e-05,29.481468392081876,61.358492112903356,20.0,1.1063450517413698e-06,4.241947837879678e-06,6.287074111848822e-07,5.97700030080593e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T18:29:16,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,3.7659783999988576,5.3306432126902763e-05,1.4154786240698319e-05,29.932750189254474,64.99107608628536,20.0,2.823110064041623e-05,9.07795170679293e-05,2.091964118889234e-05,0.00013993025889723777,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T18:29:16,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,0.11614780100353528,1.545171016639475e-06,1.3300815935682139e-05,30.524699649000283,65.70119599023349,20.0,1.1377442435296647e-06,2.2750018202621902e-06,6.433532055073092e-07,4.056099269299056e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T18:29:20,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,3.775142604994471,5.425523503522784e-05,1.4371711190741222e-05,30.79007719773272,68.19598441236714,20.0,2.90093654296969e-05,9.24397961739043e-05,2.097172049438491e-05,0.0001424208820979861,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T18:29:20,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,0.11073828799999319,1.4919957957626375e-06,1.3472903091925514e-05,31.041044837043984,68.73495218700178,20.0,1.042970278822275e-06,2.2597240298960486e-06,6.138191333674749e-07,3.9165134420857985e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T18:29:24,td3_HalfCheetah-v5_seed43611,4e4f59da-5003-4269-9d8b-5449e7a8f01e,3.812518912993255,5.3737074437555286e-05,1.4094943078602984e-05,31.076466134904162,70.42498198105582,20.0,2.737193050863715e-05,9.25034073360198e-05,2.1185364183313343e-05,0.0001410607020279702,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
