task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T11:16:53,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,90.00318540800072,0.0006750119187632896,7.499866576349598e-06,18.39293108551132,16.49906617027987,20.0,0.00040161499545840473,0.0008531892936620711,0.0005171130721166668,0.0017719173612371429,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T11:16:54,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,0.2991565369957243,3.724868765498106e-06,1.2450621861662729e-05,24.7558056337236,30.972018292716523,20.0,3.1375575100453523e-06,4.978892871987384e-06,1.6613912389099993e-06,9.777841620942735e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T11:16:54,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,0.1854784750030376,2.3377204994303423e-06,1.2604254034946731e-05,26.577329223774036,40.09899624588128,20.0,1.668545779279218e-06,3.446947201890538e-06,1.0210616833016169e-06,6.136554664471373e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T11:16:56,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,2.0200912880027317,2.5646151620766335e-05,1.2695553727695338e-05,27.386323418755772,46.51514032749699,20.0,1.5605627762271118e-05,4.049558795204966e-05,1.122035304999575e-05,6.732156876431642e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T11:16:56,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,0.11513484800525475,1.4167223171618814e-06,1.230570742947973e-05,28.327050154059283,49.23084453629531,20.0,1.0748103042960977e-06,2.0058349381457674e-06,6.3827408335374e-07,3.718919325795605e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T11:16:58,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,1.8971824769978411,2.4326084233366996e-05,1.2822233891933658e-05,28.58584126802861,52.76411677570379,20.0,1.4373923721350962e-05,3.895058671576912e-05,1.0531859777782103e-05,6.385637021490208e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T11:16:58,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,0.10788177299400559,1.381478684269041e-06,1.280352476558873e-05,29.099792008395937,54.63950236277153,20.0,9.983299653314182e-07,2.0294460680858606e-06,5.986281778151952e-07,3.626404211232474e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T11:17:00,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,1.8876419049993274,2.4196689636328387e-05,1.2818543174624958e-05,29.187098234209245,56.795253308822126,20.0,1.4211112757768485e-05,3.882003105593057e-05,1.0485563461083529e-05,6.351670727478258e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T11:17:00,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,0.10995097400154918,1.3965567277485083e-06,1.27014377593728e-05,29.524561531162664,57.81258432588108,20.0,1.0127238657363369e-06,2.0433349681159285e-06,6.099254888896743e-07,3.665984322741723e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T11:17:02,td3_HalfCheetah-v5_seed43611,430d2e0c-10d9-4c44-a5d9-c01f3ba25ff2,1.8762020389985992,2.431773338575007e-05,1.2961196829676612e-05,29.57383776802413,59.36608040326748,20.0,1.4384536785396612e-05,3.902892011198311e-05,1.0420992205520895e-05,6.383444910290073e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
