task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T20:03:54,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,90.00273199699586,0.0006149551539273442,6.832627353175026e-06,10.70295428591496,13.606995120264235,20.0,0.0003934266689077509,0.000703688896283694,0.0005171518030388849,0.0016142673682303299,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T20:03:55,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,0.2962373159971321,3.5976690149184826e-06,1.2143929138383395e-05,19.437851365389076,28.261115110028,20.0,3.059602169903919e-06,4.738614902244365e-06,1.645723116639147e-06,9.443940188787322e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T20:03:55,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,0.2003120220033452,2.3476764222697417e-06,1.1720437418954478e-05,22.766967671596603,35.656255948339464,20.0,1.8403253611506964e-06,3.2122247919375013e-06,1.11013897217667e-06,6.162689125264976e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T20:03:58,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,2.334114376004436,3.801726258249405e-05,1.628767845864095e-05,24.342746447403748,50.02228346813294,20.0,1.715032316469689e-05,6.968061130008252e-05,1.296500353888e-05,9.979593800365952e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T20:03:58,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,0.11575351300416514,1.4835397070198921e-06,1.2815378428649767e-05,25.789506559573898,53.001263715852396,20.0,1.0808119757649282e-06,2.1736128501537166e-06,6.398912444840078e-07,3.8943160704026526e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T20:04:00,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,2.197471624996979,3.6089601255303574e-05,1.6423289382895083e-05,26.514495360227016,60.958212090034536,20.0,1.6218996308527134e-05,6.631560860759222e-05,1.2201190477773949e-05,9.47357953938932e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T20:04:00,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,0.11237267599790357,1.5593884119352542e-06,1.3875164200227278e-05,27.347110063684866,63.02720584033233,20.0,1.053871954211083e-06,2.416390822101988e-06,6.231573888928772e-07,4.093420165205948e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T20:04:02,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,2.2309806889970787,3.520607754923274e-05,1.5780684012005973e-05,27.622656942370686,67.80187474016341,20.0,1.434666119953798e-05,6.567810809832153e-05,1.2391761872196242e-05,9.241653117005575e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T20:04:02,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,0.11677213900838979,2.3468123414138297e-06,2.009565200530048e-05,27.391638997626387,75.45510601776729,20.0,8.354170572266728e-07,4.677225963867215e-06,6.477778777479962e-07,6.160420898841884e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T20:04:05,td3_HalfCheetah-v5_seed43611,90949ab1-483b-4408-bce9-96c203bc912b,2.190252945991233,3.62628984207458e-05,1.6556535236764312e-05,27.248865412189044,78.56632051644975,20.0,1.6343660297145346e-05,6.66869977936635e-05,1.216004520554427e-05,9.519070329635322e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
