task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T21:19:22,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,90.00280845101224,0.0006020947435429302,6.689732631459278e-06,7.728021297348158,12.47195064438687,20.0,0.00041834989051297775,0.000644999404888047,0.0005171592845777922,0.0015805085799788167,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T21:19:23,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,0.3023581540037412,3.549709052202846e-06,1.173936278865881e-05,17.16642414781374,26.52855428883854,20.0,3.048887161332531e-06,4.589725894010854e-06,1.6794314444672654e-06,9.31804449981065e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T21:19:23,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,0.20056263600417878,2.3840985956854587e-06,1.1887546939754535e-05,21.091797277652823,34.715845436599736,20.0,1.8491753682285672e-06,3.2972248598106546e-06,1.1118976999972743e-06,6.258297928036496e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T21:19:25,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,2.3618907219934044,5.12391936247573e-05,2.1694140613964756e-05,23.058431004484227,59.368991353596854,20.0,1.775487531500107e-05,0.00010363008290381615,1.311876569444492e-05,0.00013450372391326224,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T21:19:25,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,0.11339791999489535,1.3564313642572398e-06,1.1961866271058734e-05,24.89493435075677,59.232871741693685,20.0,1.0929172632231227e-06,1.839723694274653e-06,6.280136277685318e-07,3.5606545852663075e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T21:19:28,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,2.2879990989895305,4.9542530016897634e-05,2.1653279720713068e-05,25.75099236460406,73.64682798055443,20.0,1.5589097471268784e-05,0.00010175258140199261,1.2708275233308097e-05,0.0001300499541065695,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T21:19:28,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,0.11508835099812131,1.313370723706039e-06,1.1409646350596457e-05,25.85314665941026,72.05141059604995,20.0,8.643918026230574e-07,1.9447237780134685e-06,6.385041167151313e-07,3.4476196973515488e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T21:19:30,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,2.270185187997413,4.841142907913176e-05,2.132495113700584e-05,25.950389212767252,81.20973883655655,20.0,1.7072011713154672e-05,9.739896680782678e-05,1.2609817066711721e-05,0.00012708079558769328,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T21:19:30,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,0.11063674300385173,2.8591872674374724e-06,2.5842537565197333e-05,26.749385015360264,92.0832738982524,20.0,1.0621625163957649e-06,5.829726886119602e-06,6.135240833423728e-07,7.505413485857631e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T21:19:32,td3_HalfCheetah-v5_seed43611,a378af1b-69b1-4546-9289-3ef9d1b766d6,2.2589543590001995,4.842773445061998e-05,2.1438187399862603e-05,27.178188866390887,97.90113684726386,20.0,1.6654294434537142e-05,9.792202278191553e-05,1.2547280238909024e-05,0.00012712359745536148,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
