task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T12:53:20,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,90.00334909600497,0.0006997407057563639,7.774607246408213e-06,9.102712689351279,17.12565509941825,20.0,0.0004344915753707601,0.00088536070828793,0.0005169785491444701,0.0018368308328031602,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T12:53:20,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,0.2980005360004725,3.7460400149523987e-06,1.257013758994857e-05,18.33908836364551,31.983815603255398,20.0,3.0705205119815893e-06,5.107781863911143e-06,1.6551141222104172e-06,9.833416498103258e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T12:53:21,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,0.19928331499977503,2.4564231204703742e-06,1.2326491959020064e-05,21.746261715812246,40.08650388819076,20.0,1.7874114299279431e-06,3.5566695122390968e-06,1.1040700500112915e-06,6.44815099217844e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T12:53:23,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,2.01731396499963,2.926381420748699e-05,1.4506366922713423e-05,23.57617203131104,49.734282111442475,20.0,1.6127511235329572e-05,4.948559514406092e-05,1.120488602771529e-05,7.681799240710579e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T12:53:23,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,0.12151641400123481,1.3979182143021053e-06,1.1504348136109232e-05,24.514780924580453,51.319674440596636,20.0,1.0023144129608919e-06,1.9944460398768626e-06,6.727977944440697e-07,3.6695582472819326e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T12:53:25,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,1.8939521529973717,2.77044647390473e-05,1.4627781448895463e-05,25.065424423594603,56.94386953986369,20.0,1.4499554099628442e-05,4.770503816398097e-05,1.0520082205605144e-05,7.272467446921456e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T12:53:25,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,0.11411326700181235,1.4577269756021766e-06,1.2771969941210494e-05,26.034069125394947,58.24627223559843,20.0,1.059093625056795e-06,2.134168374023915e-06,6.332952278575608e-07,3.826557226938379e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T12:53:27,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,1.9196422919922043,2.7093258115862403e-05,1.4113832608297805e-05,26.318912057109124,61.663437518957394,20.0,1.3012621798980106e-05,4.744614906782019e-05,1.0661476188882513e-05,7.11202470556828e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T12:53:27,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,0.11613083799602464,2.1943770549460355e-06,1.8895799972805858e-05,26.4149597948024,68.60219971797744,20.0,8.950959938525127e-07,4.2213922659684044e-06,6.43787511136096e-07,5.760275770956905e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T12:53:29,td3_HalfCheetah-v5_seed85062,09b7de14-3fad-407c-a72d-39b18e2e3ca0,1.8910532540030545,2.7893154052296607e-05,1.4750106871835311e-05,26.52536784284839,70.67484534973875,20.0,1.471324454836026e-05,4.8003371736049516e-05,1.0503370727787476e-05,7.321998701219747e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
