task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T19:57:58,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,90.00459671000135,0.0006709023138988571,7.454089359129017e-06,13.24340949380067,15.030677892422366,20.0,0.00046710275451523897,0.0007770508994180414,0.0005169759271111009,0.0017611295810443814,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T19:57:59,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,0.302921647002222,3.72013895097445e-06,1.228059190283191e-05,21.76273096432858,28.920436287569363,20.0,3.2981304162738034e-06,4.7813927139817025e-06,1.6859026499635313e-06,9.765425780219146e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T19:57:59,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,0.20003847999032587,2.4041585128871824e-06,1.2019256562936447e-05,24.533645135795457,36.84278109433476,20.0,1.8427836964568511e-06,3.360002687857744e-06,1.1081691554863746e-06,6.31095553980097e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T19:58:07,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,8.048577861001831,0.00011419303683251453,1.4187987999302508e-05,26.077971063764153,46.7841965517416,20.0,6.155635591170716e-05,0.00019349071034824306,4.471152891662015e-05,0.0002997585951765706,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T19:58:07,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,0.11228475198731758,1.345285856830321e-06,1.198063799505258e-05,27.251059745474706,48.78168173826062,20.0,1.0592464029512971e-06,1.844723698019024e-06,6.274273444432585e-07,3.5313974454135796e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T19:58:15,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,7.5250276629958535,0.00010857127170165977,1.4428036553010627e-05,27.9975846254092,54.436372757724335,20.0,5.85401562765292e-05,0.00018466542550998888,4.1795787688897685e-05,0.000285001369475416,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T19:58:15,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,0.1068691079999553,1.4167274760803128e-06,1.3254841307738768e-05,28.623385856494732,56.61117408642076,20.0,9.97770242663898e-07,2.1288905920346934e-06,5.922720333425722e-07,3.718932868041272e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T19:58:22,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,7.502063724008622,0.00010854027746928145,1.4468076433294861e-05,29.044107944709026,60.1513073212703,20.0,5.888817488827747e-05,0.0001843568141519647,4.1675020066678486e-05,0.00028492000910692065,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T19:58:22,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,0.11175520400865935,1.4352094964004136e-06,1.2843249352665075e-05,29.431626918044742,60.946585021170094,20.0,1.0400541653743378e-06,2.1086127981462255e-06,6.187815110832509e-07,3.7674484746038142e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T19:58:30,td3_HalfCheetah-v5_seed85062,97d74d95-6b56-4c52-b527-037e3cfac03c,7.556962691000081,0.00010817118151680788,1.4314121062557078e-05,29.674802360882644,63.483298712066535,20.0,5.5468771041650156e-05,0.00018650181586776782,4.1980539266741235e-05,0.0002839511261761591,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
