task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T20:48:19,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,90.00273541698698,0.0005969290446276734,6.6323429724936496e-06,6.269565148236216,12.292741256906615,20.0,0.00041450788660604395,0.0006354832861643622,0.0005169573628055837,0.0015669485355759899,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T20:48:19,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,0.30159684500540607,3.552098373694047e-06,1.1776939204194496e-05,16.29863967262723,26.41594336797139,20.0,3.0683166213178736e-06,4.580559219924396e-06,1.675440666682967e-06,9.324316507925128e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T20:48:20,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,0.2002651170041645,2.336263032750338e-06,1.1666343336292302e-05,20.504507097886698,34.052440434621616,20.0,1.860789266408102e-06,3.1622247518292568e-06,1.1097147722870454e-06,6.132728790524513e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T20:48:22,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,2.3253384919953533,4.548906843471006e-05,1.9562357253784708e-05,22.60516911169179,54.860764962738926,20.0,1.731223579422205e-05,8.918173801220064e-05,1.2915577144384646e-05,0.00011940955095080734,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T20:48:22,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,0.11645416999817826,1.3969853494908823e-06,1.1996062411777413e-05,24.538038992455643,55.508225698562946,20.0,1.1258422895619232e-06,1.8961126277972085e-06,6.451545444886072e-07,3.667109461847739e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T20:48:24,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,2.2014554789930116,4.345200288896297e-05,1.9737920376293632e-05,25.567999218108874,67.53305662481856,20.0,1.6427142586147815e-05,8.540673499179974e-05,1.2228342894458248e-05,0.0001140622204724058,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T20:48:24,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,0.10913187300320715,1.5364228474605036e-06,1.4075431699798e-05,26.416215366486625,69.12980445502865,20.0,9.989574658319806e-07,2.4294463880636386e-06,6.047313277829152e-07,4.033135181678643e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T20:48:27,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,2.22160619701026,4.2624914793033103e-05,1.9186661878499896e-05,26.76889864042526,76.69671675331855,20.0,1.486491661414598e-05,8.468478997025741e-05,1.2341394066687724e-05,0.00011189110065109101,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T20:48:27,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,0.11305554299906362,1.8181299147883474e-06,1.6079877095370708e-05,26.585102931879987,79.69860182161474,20.0,7.97117859915918e-07,3.3483360120101224e-06,6.271669832737855e-07,4.772620855199826e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T20:48:29,td3_HalfCheetah-v5_seed85062,e544f833-ac81-4abb-ba83-e7993e24db3c,2.1925072689919034,4.3150267902567255e-05,1.9680865325995674e-05,26.500762729704185,85.07536267098477,20.0,1.65289185009021e-05,8.456090098185598e-05,1.218034169998849e-05,0.00011327016118274635,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
