task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T12:31:31,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,90.00552836598945,0.0006456283460426339,7.173207237303706e-06,13.89775240129879,14.046985996976598,20.0,0.0004500576150458027,0.000727104748350138,0.0005176226373722278,0.0016947850007681686,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T12:31:31,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,0.3000522400107002,3.565203238395918e-06,1.1881569845284192e-05,21.77017198552802,27.533790421799,20.0,3.150001964449811e-06,4.542503633908623e-06,1.6662113944120602e-06,9.358716992770386e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T12:31:32,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,0.19704883999656886,2.4099895229569377e-06,1.2230766037497486e-05,24.759586143011944,36.06200954546796,20.0,1.8645698249830644e-06,3.369169361944202e-06,1.0925228499723653e-06,6.326262036899632e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T12:31:34,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,2.0060525510052685,2.8361322061422312e-05,1.4137889792965364e-05,26.22849146634751,45.79544564752555,20.0,1.6097672044794453e-05,4.7208371100060376e-05,1.114289257222686e-05,7.444893571708169e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T12:31:34,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,0.11658842700126115,1.3614080618730992e-06,1.1678316108156128e-05,27.669887165161512,47.3450274409953,20.0,1.149103419278985e-06,1.7791680899659212e-06,6.454469889124277e-07,3.5737184981574424e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T12:31:36,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,1.8897961199982092,2.6952724225088004e-05,1.4262328855292566e-05,28.16547863121941,53.0621011989542,20.0,1.4399049852564794e-05,4.585531446199553e-05,1.0496978972191211e-05,7.075134328675165e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T12:31:36,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,0.11281898300512694,1.3833695842126095e-06,1.2260735767174678e-05,28.811308525027695,54.18689380930741,20.0,1.0628744614091246e-06,1.9427793320758724e-06,6.257140611220548e-07,3.6313678546070517e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T12:31:38,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,1.9116794719884638,2.6505598819555375e-05,1.3865116624404195e-05,28.86827455411798,57.68826072737473,20.0,1.3457211043531314e-05,4.550198084585233e-05,1.0618439872147711e-05,6.957763176153125e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T12:31:38,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,0.11712913500377908,1.3668127101694938e-06,1.1669305727297802e-05,28.66519332874524,58.089371465076376,20.0,8.991479415396131e-07,2.0308349581998897e-06,6.579228888667181e-07,3.587905788606221e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T12:31:40,td3_HalfCheetah-v5_seed958,65fdd4cc-aec9-40e3-9173-20ba9ea24a02,1.9042082149971975,2.6718908447970072e-05,1.4031564699767268e-05,28.504179517289426,60.59137333057334,20.0,1.4273470029885216e-05,4.528531400582736e-05,1.0578789000040452e-05,7.013757303575303e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
