task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T19:07:00,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,90.00428019600804,0.0006563453599611843,7.2923786991081294e-06,10.901149082198458,14.661934179198182,20.0,0.0004477706318273267,0.0007580964398097301,0.0005170502664944151,0.0017229173381314718,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T19:07:01,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,0.2999513599934289,3.665689027564415e-06,1.2220517223291657e-05,19.732968080122795,29.053149608474172,20.0,3.13960917835282e-06,4.817503854059879e-06,1.6653808055303162e-06,9.622493837943124e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T19:07:01,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,0.20167953400232363,2.4565304129065945e-06,1.218080862776245e-05,22.962306204350135,37.3601498885817,20.0,1.8478023115706121e-06,3.4827805639459086e-06,1.1178497610671995e-06,6.44843263658372e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T19:07:09,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,7.665364671993302,0.00011014683529203604,1.4369428498274617e-05,24.79423690838339,47.36153408700455,20.0,6.053678259605039e-05,0.00018601792659223015,4.2582540561124935e-05,0.0002891372497494057,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T19:07:09,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,0.11379406299965922,1.5143461173090615e-06,1.3307705048361507e-05,26.309934863212096,51.37105209776747,20.0,1.0901030943061274e-06,2.254168469661977e-06,6.309118388647759e-07,3.975183402832663e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T19:07:17,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,7.635875740001211,0.00010890680386952973,1.4262550555329772e-05,27.248510485316007,56.741094993405,20.0,5.478166910308224e-05,0.00018868209539002478,4.241838242782651e-05,0.00028588214692093364,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T19:07:17,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,0.11273001499648672,1.330428505913711e-06,1.1800038353507279e-05,27.315443015728412,57.58023765659519,20.0,8.854659861445846e-07,1.9825015860064354e-06,6.244290833517076e-07,3.4923966555026192e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T19:07:25,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,7.539186811001855,0.00010907840483117355,1.446820963926022e-05,27.37615048462179,60.99538080374709,20.0,5.9505646215596286e-05,0.00018494514795608374,4.188180808891448e-05,0.0002863326022605945,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T19:07:25,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,0.10813999100355431,1.5241870216934142e-06,1.4094543638789416e-05,27.99482203822954,62.82072406680295,20.0,1.0270333216239047e-06,2.37500190003459e-06,5.989807166365728e-07,4.001015938294959e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T19:07:32,td3_HalfCheetah-v5_seed958,f0c9edb7-ffa8-4303-b749-12df97aaf5dd,7.662970033008605,0.00010855378455565997,1.4166036253796992e-05,28.41445376745214,65.10255797742013,20.0,5.5243297250158474e-05,0.0001871420941579327,4.257007402217524e-05,0.0002849554654302663,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
