task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T15:26:26,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,90.00341941199986,0.0006112917708368407,6.791872364180806e-06,12.906517883500328,13.047708963921814,20.0,0.0004118044238877183,0.0006752916513439455,0.0005175548522833399,0.0016046509275150038,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T15:26:27,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,0.674852063999424,8.29258857038375e-06,1.2287782513018264e-05,21.06461314271861,28.23063055594427,20.0,7.032136459042548e-06,1.098667545601506e-05,3.7493691333313718e-06,2.1768181048388872e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T15:27:17,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,49.74368089000018,0.0008943804761954277,1.7979782862051534e-05,25.105607877614368,51.2079512801278,20.0,0.0004113722449308674,0.0016600404946979785,0.00027635068390554805,0.0023477634235343943,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T15:27:28,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,10.759425148000446,0.0002349731748748894,2.1838823730140488e-05,26.106158587461145,71.54252223482422,20.0,0.00010011417981350273,0.0004569200877580504,5.9774171527775884e-05,0.0006168084390993289,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T15:27:38,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,10.025946018000468,0.00018046172958989114,1.7999504963886652e-05,27.282986103713313,79.64479224330513,20.0,8.340176644358599e-05,0.00033461665658196527,5.5696577866668406e-05,0.0004737150008922199,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T15:27:48,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,10.689044298000226,0.0002331593966259011,2.1812944712562536e-05,27.704221675996543,90.12358740396212,20.0,9.840870789357137e-05,0.000454257585628004,5.9380947916674344e-05,0.0006120472414382497,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T15:28:00,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,11.43341937399964,0.00019447612662054333,1.7009423863704517e-05,28.313880746615403,93.14227290350861,20.0,8.407657670565089e-05,0.00036291056810605626,6.351587821111233e-05,0.0005105030230228196,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T15:28:11,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,10.703278119999595,0.00023411164143528332,2.1872903621037865e-05,28.180441543012464,99.80885429825807,20.0,9.979288122313051e-05,0.0004552939753459384,5.9460043116673104e-05,0.0006145468996857422,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T15:28:22,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,11.468448865000028,0.00019181190733326978,1.6725195868792543e-05,28.650060270350753,101.09586528262727,20.0,8.085707968560896e-05,0.00035894223159799177,6.371009240000499e-05,0.0005035094036836057,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T15:28:33,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,10.682251339001596,0.00023491686302955358,2.199134106095766e-05,28.42712104976374,105.85215588105858,20.0,0.00010210746613035365,0.00045521008638998994,5.934306706110678e-05,0.0006166606195814502,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-18T15:28:44,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,11.43972421000035,0.00019526383382592518,1.7068943066601438e-05,28.872320716612432,106.5744502094842,20.0,8.51277017132196e-05,0.00036389251333601713,6.355055231111297e-05,0.0005125707673603493,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-18T15:28:55,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,10.690095902000394,0.00023272176041226264,2.176985926583941e-05,28.758169492720036,110.0916195390396,20.0,9.927993275721247e-05,0.00045223119511800247,5.9387311322219244e-05,0.000610898439197434,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-18T15:29:06,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,11.446410640999602,0.00019274190076159657,1.6838648316994643e-05,29.046923271114274,110.31371387051317,20.0,8.241023509480278e-05,0.00035994667684596804,6.359373974999263e-05,0.0005059506516907637,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-18T15:29:17,tdmpc2_Ant-v5_seed331,6154a1ca-d5bc-4766-97b3-f60fe8350a6b,10.711226876999717,0.00023404068846257647,2.185004525193902e-05,28.88288111798654,113.16978432684894,20.0,9.918687101610063e-05,0.000455669808979986,5.950396697222064e-05,0.0006143606469683066,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
