task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T22:54:34,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,90.00557262099755,0.0005997960957303552,6.663988130904947e-06,19.779975178043316,12.30302846455664,20.0,0.0004211331902396198,0.000636218564529889,0.000517122836988872,0.0015744745917583808,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T22:54:35,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,0.669499816998723,7.5438605795494e-06,1.1267673380107512e-05,25.56195589077885,24.605505375326874,20.0,6.929122765515772e-06,9.153896211921975e-06,3.7197388111154858e-06,1.9802757788553232e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T22:55:47,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,72.48159153100278,0.0013956754161475174,1.9255588389146553e-05,28.42443418296093,51.74571003329779,20.0,0.0005798762986228834,0.0026811224226739316,0.0004026721440333253,0.003663670865330141,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T22:56:01,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,13.286952487993403,0.0002956404521327399,2.225043187591295e-05,28.578441288539846,72.58597411866015,20.0,0.0001266808207890241,0.0005755651826742092,7.381503376669156e-05,0.0007760610372299246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T22:56:16,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,15.754623134002031,0.00029598185189766424,1.8786998348965766e-05,29.474347436923058,81.99483604239725,20.0,0.00012474111007058225,0.0005646937850878331,8.752232205556042e-05,0.000776957217213976,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T22:56:30,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,13.222804719000123,0.00029403104999284205,2.2236669952854154e-05,29.390871802595456,92.59310579077378,20.0,0.00012473807534593012,0.000573641014467885,7.345724039445898e-05,0.0007718363302082736,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T22:56:47,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,16.882637443006388,0.00030309638568762863,1.7953125888817548e-05,29.89954234050319,96.53480361900226,20.0,0.00011975624191602752,0.0005820879656701639,9.378877754999035e-05,0.0007956329851361828,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T22:57:00,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,13.22074298899679,0.0002952096489591302,2.232928590242456e-05,29.485019743167634,103.20702515398872,20.0,0.00012645392310749876,0.000575030182246028,7.34460664777645e-05,0.0007749301718312906,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T22:57:17,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,16.769645448002848,0.00030562563149745276,1.8224936674288015e-05,29.93603396105118,105.40225776615735,20.0,0.00012610753227483562,0.0005830035219578367,9.316124264999713e-05,0.0008022722968826692,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T22:57:30,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,13.207116151999799,0.0002946411255387994,2.2309276073070406e-05,29.718823338503412,110.09867987644878,20.0,0.00012387298798720303,0.0005761940720661052,7.337072847221865e-05,0.0007734377885255262,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-18T22:57:47,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,16.868801830998564,0.0003032447791160159,1.797667693760509e-05,30.01370838323265,111.31269459751036,20.0,0.00011816844897912654,0.000584142133980059,9.37119373611091e-05,0.0007960225203202942,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-18T22:58:00,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,13.227578810998239,0.00029471521706237336,2.2280363938450252e-05,29.690242919029636,114.82956401478495,20.0,0.00012317839243151246,0.000576969906020075,7.34839815388921e-05,0.0007736322799904802,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-18T22:58:17,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,16.808727064999403,0.00030608319671743354,1.8209791125215585e-05,29.937034090526595,115.55010844306791,20.0,0.0001268621628785424,0.0005832326888079997,9.337856140555234e-05,0.0008034734130920942,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-18T22:58:30,tdmpc2_Ant-v5_seed331,e4b225ee-3c1d-4415-ba5c-20601ce9dbbc,13.221186089002003,0.0002958312621545601,2.2375551714589557e-05,29.78578439698811,118.33148262990905,20.0,0.00012554421265750793,0.0005775690731657512,7.34486308444401e-05,0.0007765619166676986,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
