task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T06:02:55,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,90.00360500099487,0.0006105721128047946,6.78386255986137e-06,8.161210279905868,13.102538985074112,20.0,0.00040800280501309197,0.0006776044309719786,0.0005171545773888486,0.0016027618133739193,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T06:02:56,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,0.6704707030003192,8.280462449286813e-06,1.235001536947016e-05,18.17944190268877,28.186597366631517,20.0,7.142524880682233e-06,1.0869175361971628e-05,3.7246495389101596e-06,2.173634978156402e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T06:03:44,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,48.00544842900126,0.0007216351271570513,1.5032362016309677e-05,23.12773721913699,45.019621364154986,20.0,0.00035389965923061234,0.0012737112967458053,0.00026669309221114316,0.0018943040481875608,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T06:03:51,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,7.410822650999762,0.00015887326191461968,2.1437999233709114e-05,23.974583771330174,65.90828371656946,20.0,6.821356734858924e-05,0.000307662746130255,4.116860557777625e-05,0.00041704491905662083,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T06:04:00,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,9.344997732012416,0.00014608156942780455,1.563207768871779e-05,25.451205101694143,71.17747817484168,20.0,7.84080652264027e-05,0.0002531443691817792,5.19140820055327e-05,0.0003834665164137146,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T06:04:08,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,7.323929951002356,0.0001593198044999003,2.1753336098491462e-05,26.1921785953952,82.70266641142987,20.0,6.860754877488495e-05,0.0003089230249164743,4.068652697775783e-05,0.0004182171006691174,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T06:04:17,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,9.40969912998844,0.00014462693761236938,1.5369960855862162e-05,27.063211172376835,84.498523626375,20.0,7.366850726809454e-05,0.00025370686963155364,5.227270713334701e-05,0.00037964808403299476,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T06:04:25,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,7.324933013995178,0.000156988983106115,2.143215453741925e-05,27.245439550822567,91.79410645928118,20.0,6.589409993745798e-05,0.00030551302218828624,4.069153414440929e-05,0.0004120986562701533,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T06:04:34,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,9.24956660499447,0.0001472645718639267,1.5921257079988122e-05,27.750760905701092,92.50027930268338,20.0,8.120986219006116e-05,0.0002539788142938981,5.138324073333117e-05,0.00038657191721729045,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T06:04:41,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,7.327899071999127,0.00015799864967227942,2.1561258499561274e-05,28.124471558511992,97.73351626343765,20.0,6.859108626171284e-05,0.0003054496888039715,4.070827250559684e-05,0.00041474904757128096,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-19T06:04:50,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,9.35546288700425,0.00014517182272831466,1.5517355388175737e-05,28.55334126283367,97.68221679320402,20.0,7.673548444389264e-05,0.0002523713130080374,5.197161894999829e-05,0.00038107841640192854,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-19T06:04:58,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,7.31710697201197,0.00015830521800487595,2.1634950530207417e-05,28.65854083668813,101.8402023948544,20.0,6.651348709963562e-05,0.00030839219115774696,4.064811621663257e-05,0.00041555379447401515,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-19T06:05:07,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,9.477565925000818,0.0001454340599898211,1.5345098090291718e-05,28.92112151755142,101.43050679210782,20.0,7.611869117268508e-05,0.00025299798017641706,5.2650122166637055e-05,0.0003817667935157396,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-19T06:05:15,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,7.333092095999746,0.00015947567568127229,2.1747414452522974e-05,28.96415787086563,104.75714084197222,20.0,6.964992544212026e-05,0.00030823941325763826,4.073692637773796e-05,0.0004186262650774965,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-19T06:05:24,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,9.39920905100007,0.000147391903050049,1.5681283578902037e-05,29.26851063610495,104.30379496202505,20.0,8.013428910737946e-05,0.00025455742586810715,5.22144486944146e-05,0.00038690616366990165,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-19T06:05:31,tdmpc2_Ant-v5_seed331,7f212412-b329-4a5b-88a9-1b2082afe521,7.31955910299439,0.0001582149395977549,2.1615397008797536e-05,29.377861963098372,106.99461580450857,20.0,6.959217956258729e-05,0.0003050630218282002,4.066161078339478e-05,0.0004153168121741827,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
