task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T13:18:41,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,90.00358110599336,0.0006226529766069405,6.918090872251785e-06,13.159948874213509,13.265448782654042,20.0,0.00043050625801584197,0.0006864766602916461,0.000517491360749975,0.001634474279057463,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T13:18:42,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,0.6667533769941656,8.19746881479161e-06,1.2294385614124771e-05,20.886781129092103,28.742620919251404,20.0,6.754748737132499e-06,1.1059175514471775e-05,3.7045658777868935e-06,2.1518490129391167e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T13:19:55,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,72.94985661700775,0.0014036864992855395,1.9241801667179384e-05,24.725039074602833,54.76748428240576,20.0,0.0005875515411519691,0.002691874653498072,0.0004052738953500618,0.003684700090000103,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T13:20:11,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,16.573477069003275,0.00037029935350537486,2.2342887776725842e-05,25.6423792076259,75.16362780221161,20.0,0.0001583498225130875,0.0007216189106280524,9.207314507220883e-05,0.0009720418782133483,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T13:20:26,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,14.418431908998173,0.0002845531502096363,1.9735395132675826e-05,27.061933107281234,85.23420831398055,20.0,0.00012383477351218114,0.0005430229344174364,8.009897984997635e-05,0.0007469566877795937,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T13:20:42,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,16.51334150499315,0.000370139382754655,2.241457473336616e-05,27.639516561225626,95.58259587205956,20.0,0.00015664909781917466,0.0007232347452545973,9.173810929439955e-05,0.0009716219523681719,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T13:20:57,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,14.468042632986908,0.0002839708621384801,1.9627431781899328e-05,28.423439905663603,100.49388430193828,20.0,0.00012306006900353675,0.0005419971002638135,8.037100277223435e-05,0.0007454281720395851,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T13:21:13,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,16.532148967002286,0.00037091551919929454,2.243602125707053e-05,28.688800168536382,106.89237141345568,20.0,0.0001558840741516035,0.000725932247411798,9.184300170551668e-05,0.0009736593232689186,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T13:21:28,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,14.708510356998886,0.0002820311497451146,1.917469558287255e-05,29.17051762715034,109.58147173592438,20.0,0.0001120446160245113,0.0005465809928200116,8.171078633887295e-05,0.0007403363951833958,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T13:21:44,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,16.536712845991133,0.0003710196343473726,2.243612732607327e-05,29.045789868192006,113.99840552627796,20.0,0.00015554046387671744,0.0007265250256640599,9.186713769999597e-05,0.0009739326272407735,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-19T13:21:59,tdmpc2_Ant-v5_seed331,cc642228-8e74-4e26-b6ec-f71e4366fc5e,14.47120138698665,0.0002860170475178312,1.9764577077444613e-05,29.42931031355163,115.83600473961478,20.0,0.00012353580355078594,0.0005468712708300849,8.039236784995111e-05,0.0007507994422308213,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
