task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-10T18:24:52,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,90.00272541700178,0.000614709455758624,6.829897938147251e-06,12.130044940217882,13.462536531719746,20.0,0.0004002441313061683,0.0006962230569780292,0.0005171552182222311,0.0016136224065064287,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-10T18:24:53,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,0.6770873370005575,8.164915602969594e-06,1.2058659382612429e-05,20.417018728178856,27.912621610299112,20.0,6.981833363228773e-06,1.0688897439936618e-05,3.762306611113488e-06,2.143303741427888e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-10T18:25:53,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,60.26492277000216,0.0011415692257045488,1.8942518938394225e-05,24.52838983560268,53.39783494753837,20.0,0.000488073176569348,0.0021737628501200534,0.0003348019197722047,0.002996637946461606,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-10T18:26:05,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,11.99375236099877,0.000264493625905905,2.2052610345586163e-05,25.540244070210772,73.52654967146152,20.0,0.00011446272323677176,0.0005132056883419001,6.663169580000002e-05,0.000694300107378672,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-10T18:26:17,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,12.033533579000505,0.00022812197484298581,1.895720656474768e-05,26.935258001110643,83.02461925174171,20.0,9.572687908145083e-05,0.00043624729344204916,6.684975408887913e-05,0.0005988239266123789,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-10T18:26:29,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,11.916338613002154,0.00026459397463993173,2.220431385123358e-05,27.23709039820653,93.48129853405985,20.0,0.00011127074262763659,0.0005170931914519894,6.619959037222232e-05,0.0006945635244518487,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-10T18:26:41,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,11.93558469400159,0.00023076996615191674,1.933459910950783e-05,28.008002340479493,98.24266355539072,20.0,0.00010327123483915013,0.0004361986822919439,6.630503011110698e-05,0.0006057749472422012,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-10T18:26:53,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,11.927926116997696,0.0002678391569686427,2.245480743179364e-05,28.389276071292393,104.83011398352953,20.0,0.00011497238281116262,0.0005218554174840628,6.62543810110946e-05,0.0007030821813063196,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-10T18:27:05,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,11.982480317001318,0.00023127209602591663,1.930087590400117e-05,28.981396037006352,107.57798213735536,20.0,0.00010016544929895843,0.00044036229673394267,6.656530036666989e-05,0.0006070930463995712,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-10T18:27:17,tdmpc2_Ant-v5_seed43611,99acf11e-9224-4008-a79e-6b3c597ef5f8,11.936773421999533,0.0002662439835577242,2.230452261483357e-05,29.112938255354653,112.03566166217747,20.0,0.00011330490508829061,0.0005192768043100759,6.631311553331526e-05,0.0006988948249316822,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
