task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T16:16:24,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,90.00315737300843,0.0006025967867727052,6.695284738062938e-06,16.82012546352456,12.506209776365413,20.0,0.00041825533710400375,0.0006465713505896531,0.0005169997640000172,0.0015818264516936742,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T16:16:26,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,0.6760933240002487,8.352497435563759e-06,1.2353812931750406e-05,24.230575334859463,27.51884988370072,20.0,7.360013110226105e-06,1.0809175314374642e-05,3.7562543777716097e-06,2.1925442802372356e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T16:17:41,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,75.5616605230025,0.0014134510092464734,1.8705933036526812e-05,27.89700145468119,53.018115652639146,20.0,0.0005721137596350831,0.002718434952523552,0.00041978337668891386,0.0037103320888475485,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T16:17:58,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,16.599928095994983,0.00036976630348523705,2.227517885275499e-05,27.847333217152652,73.72687815178935,20.0,0.00015644600349003224,0.0007219691886861668,9.222742098888076e-05,0.0009706426131650793,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T16:18:15,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,17.00230245500279,0.0003044683456162548,1.7907498042348238e-05,28.788711900162152,81.8623693619672,20.0,0.00012605955195867102,0.0005787210185324021,9.44538319666106e-05,0.0007992344024576837,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T16:18:31,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,16.522629298997344,0.0003697204324145144,2.2376614804522254e-05,28.554777469637376,92.58263662190195,20.0,0.00015862449717726768,0.0007201086316412919,9.178907203329588e-05,0.0009705222008518557,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T16:18:48,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,17.057690197994816,0.0003051786671688537,1.7890955241791097e-05,29.248148385269143,96.34973950637534,20.0,0.00012488284712842274,0.0005814549096085919,9.476125145002796e-05,0.0008010990081870426,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T16:19:05,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,16.52533191999828,0.000369215832112392,2.2342422505565484e-05,28.97758987827826,103.08500363882958,20.0,0.00015687129910804676,0.0007205214097498747,9.180490792221269e-05,0.0009691976167801337,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T16:19:22,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,17.33096514600038,0.00030293412825933277,1.7479363373498185e-05,29.437343651633416,104.94819448655603,20.0,0.00011297984260602578,0.0005859474132021703,9.627980091665646e-05,0.0007952070567248531,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T16:19:39,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,16.533851604006486,0.0003719001618316285,2.2493263470061455e-05,28.953148173023518,109.78018061342192,20.0,0.00015821586740592114,0.000726166969821751,9.186118910551569e-05,0.0009762440263331885,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-19T16:19:56,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,17.053589800008922,0.0003051763140582116,1.7895150858880686e-05,29.373121646010393,110.86061665668603,20.0,0.0001249140257644707,0.0005814401873740493,9.473861809448057e-05,0.0008010928312330006,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-19T16:20:12,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,16.538004686997738,0.00037193444060796936,2.2489701120584815e-05,29.177641351706857,114.5057585649691,20.0,0.00015750753850593546,0.0007269516926720065,9.18747775055333e-05,0.0009763340086834747,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-19T16:20:29,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,17.092681451991666,0.0003067023755033288,1.7943504233998174e-05,29.50980985441412,115.14552360753238,20.0,0.00012396454083821173,0.000586178246719804,9.495598000551888e-05,0.0008050987675635342,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-19T16:20:46,tdmpc2_Ant-v5_seed43611,03ae4f43-09a4-4065-af00-b84cf0395852,16.51029984600609,0.00037046481421760136,2.243840865118624e-05,29.31278174574422,118.02346792078886,20.0,0.0001547080134885262,0.0007260466919478681,9.172150986115515e-05,0.0009724762152975488,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
