task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-10T19:10:20,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,90.00275515899921,0.0006397364841752372,7.10796537118113e-06,11.477514561550844,14.512531968376356,20.0,0.0004116562951581044,0.0007505142115219465,0.0005171482600222387,0.0016793187667022897,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-10T19:10:21,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,0.6782117229995492,8.150386890777941e-06,1.2017258321110691e-05,19.741765576446983,28.722796815640354,20.0,6.857084096771951e-06,1.0769175281866161e-05,3.7686399277744214e-06,2.1394899306412642e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-10T19:11:22,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,60.39578686000095,0.001146693666073118,1.8986320614666226e-05,23.84436686903895,54.13103461812989,20.0,0.00048765088178705923,0.0021869098050820712,0.0003355289996333442,0.003010089686502475,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-10T19:11:34,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.98346478700114,0.00026661333108437624,2.224843753731878e-05,24.97058135922022,74.55867768828554,20.0,0.00011311612021504443,0.0005201745828059545,6.657366522779028e-05,0.0006998643682487897,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-10T19:11:46,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.89260074000049,0.0002319458016003034,1.9503370962462296e-05,26.440531458323473,84.22455847935096,20.0,0.00010491989310251401,0.0004378747947439976,6.606684673887578e-05,0.0006088615345853877,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-10T19:11:57,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.919137183002022,0.0002662101072663189,2.2334686515519278e-05,27.230211340664514,94.58486028748747,20.0,0.00011363547785275298,0.0005189551373859791,6.621528387222488e-05,0.000698805899110957,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-10T19:12:09,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.895509417001449,0.00023162957608718806,1.9471994633848957e-05,28.084324452972954,99.35343562699282,20.0,0.0001033768252013921,0.0004385720175239527,6.60825947000072e-05,0.0006080314374253522,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-10T19:12:21,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.913774255001044,0.00026685645901210545,2.2398993594344402e-05,28.467425445839314,105.79955516628499,20.0,0.00011353963583163665,0.000520777638844061,6.618530837222344e-05,0.0007005025830479211,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-10T19:12:33,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.927920088000974,0.0002322006606277436,1.94670020042814e-05,29.02204349806675,108.5326702939363,20.0,0.00010218284424621041,0.0004410847973119747,6.626290215554025e-05,0.0006095305437137256,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-10T19:12:45,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.911817522999627,0.00026724112763226076,2.2434967376115027e-05,29.213752753641913,112.99364894748832,20.0,0.00011380825799097924,0.0005215229172180758,6.618116927778212e-05,0.000701512344486838,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-10T19:12:57,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.915325113001018,0.00023485689980845938,1.9710505572011674e-05,29.622540452265202,114.83426225551317,20.0,0.00010323693647837189,0.0004470734132139276,6.619286545000145e-05,0.0006165032151423007,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-10T19:13:09,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.928184047999821,0.0002668726350603099,2.2373290973893123e-05,29.758459567933098,118.13929181588553,20.0,0.00011144125081959458,0.0005228381960480366,6.626559857221656e-05,0.0007005450454398484,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-10T19:13:21,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.923352613001043,0.0002335446028961857,1.9587177420302514e-05,30.020208599999854,119.2674140890236,20.0,0.00010324868565443797,0.0004435722993020308,6.623742926110737e-05,0.0006130584142175766,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-10T19:13:33,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.926166064000427,0.0002696046130485092,2.260615644151033e-05,30.113469611710062,121.94652320946152,20.0,0.0001132351386435946,0.0005282273670259574,6.625402681111146e-05,0.0007077165324806643,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-10T19:13:45,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,12.011415630000556,0.00023430415684418202,1.950675289680731e-05,30.349757022160304,122.68843578324353,20.0,0.00010185578120677947,0.0004464686905080173,6.67277840777792e-05,0.000615052255792576,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-10T19:13:57,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.933945622000465,0.00026843058168339075,2.2493032743814763e-05,30.379211581909512,124.77129033419463,20.0,0.00011425834029548873,0.0005240784748179461,6.629786577222051e-05,0.000704634680885656,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-10T19:14:09,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.940368048999517,0.00023496760233724864,1.9678436818573582e-05,30.593372999819135,125.29660219423961,20.0,0.00010527857588945796,0.00044518285614603137,6.633237906110792e-05,0.000616793811096597,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-10T19:14:21,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.924656379000226,0.0002700316599574511,2.2644825426410466e-05,30.66441645927259,127.1109854313993,20.0,0.00011338162292745188,0.0005292098678121304,6.624604688333625e-05,0.0007088375376229188,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-10T19:14:33,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.944365082999866,0.00023459169234749805,1.9640376885852816e-05,30.830214683294436,127.47035293496761,20.0,0.00010388538283045978,0.00044556730089795327,6.635435747777787e-05,0.0006158070412061907,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-10T19:14:45,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.930272906996834,0.00026990972881575474,2.262395044117161e-05,30.86425033858919,129.00124066477446,20.0,0.0001132856281284289,0.0005289551453859787,6.627669286111406e-05,0.0007085174663755221,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-10T19:14:57,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.97184294699764,0.00023330577837370973,1.9487885011833507e-05,30.999221021524576,129.23405262209727,20.0,9.991279826350799e-05,0.00044601146791989343,6.650722974443652e-05,0.0006124314959278371,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-10T19:15:08,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.935811832001491,0.00027033297902995853,2.264890049780044e-05,30.972549531078904,130.56315149970146,20.0,0.00011341982073578144,0.0005298912572460068,6.63174271500087e-05,0.0007096285051317978,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-10T19:15:20,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.963004638000712,0.00023481571934724863,1.9628445849265143e-05,31.09619129496659,130.72189667576947,20.0,0.00010338099603806467,0.0004465503572401719,6.646376247776463e-05,0.0006163951157560008,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_10,2026-09-10T19:15:32,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.953339782001422,0.00027169826952602987,2.272991451798873e-05,31.10902082563328,131.89049877122577,20.0,0.00011582563571599022,0.0005309876470118713,6.639913235556181e-05,0.0007132124150834238,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_10,2026-09-10T19:15:44,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.9867330019988,0.00023676043658945375,1.9751893473883743e-05,31.242342034255934,132.0256505046483,20.0,0.00010408100048695662,0.0004508295273299989,6.658950260554977e-05,0.0006215000304225053,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_11,2026-09-10T19:15:56,tdmpc2_Ant-v5_seed85062,bb7c5ea8-01a7-4f05-956d-4eb5d480cfce,11.915777576999972,0.0002697913193184095,2.264153111614393e-05,31.253513579160224,133.03308781415288,20.0,0.0001149962881080678,0.0005270140327220396,6.619631867221549e-05,0.000708206639502322,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
