task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T18:08:23,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,90.00335796800209,0.0006275136890871965,6.9721139003279954e-06,11.997510270841499,13.591776307961942,20.0,0.00042719629342343607,0.0007028925067579239,0.0005171449288833375,0.0016472337290646974,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T18:08:24,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,0.6751356519998808,8.232556670482766e-06,1.21937436942555e-05,20.175788450421948,28.576802308081596,20.0,6.875835778442918e-06,1.0983342120018946e-05,3.7514184277825198e-06,2.1610596326244276e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T18:09:14,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,49.89403366899933,0.0008836524955981406,1.7710587080121938e-05,24.218249029896967,51.475033498045335,20.0,0.0003769456460007148,0.0016654707768198884,0.0002771858756388813,0.002319602298459484,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T18:09:25,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,10.766558586998144,0.00023288288358443653,2.1630206299100058e-05,24.92365505488003,71.41430513961379,20.0,9.940669869196173e-05,0.0004521020283481114,5.981266312776116e-05,0.0006113213901678344,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T18:09:35,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,9.806993452002644,0.00017865957425861057,1.8217573700947654e-05,26.261849232607606,79.79764704167863,20.0,8.294997135992882e-05,0.0003315541541319966,5.448018808888765e-05,0.00046898431358081277,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T18:09:45,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,10.666577660002076,0.00023212994045020206,2.1762374176899117e-05,26.902613423039334,90.09382402541986,20.0,0.00010012184315296574,0.0004499670266400191,5.9256032294433664e-05,0.0006093449020874182,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T18:09:55,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,9.71975355700124,0.00017984698170854432,1.850321014648734e-05,27.729415227553737,94.30130401941625,20.0,8.399745164235778e-05,0.0003341086006199978,5.399522535555858e-05,0.00047210127761791384,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T18:10:06,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,10.69269739900119,0.00023223334091099787,2.1718881958782144e-05,28.13114100593126,100.65617720164904,20.0,0.00010025576409344178,0.00044995869330000104,5.9401872599988085e-05,0.0006096163299934313,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T18:10:15,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,9.868980311002815,0.00017841175886933267,1.807805932386657e-05,28.64116660671653,102.8157624010898,20.0,7.838597381983753e-05,0.0003351233236539297,5.482449664444473e-05,0.00046833379411821176,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T18:10:26,tdmpc2_Ant-v5_seed85062,8802ac04-3043-4668-87b8-25e7c375addc,10.667414843999723,0.00023354254590979198,2.189308549446236e-05,28.67370302575445,107.44883932457027,20.0,9.813259211712e-05,0.00045565953119408587,5.9260891283338364e-05,0.0006130530145945449,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
