task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T08:19:11,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,90.0061770540051,0.0006207110215544757,6.8963070893139936e-06,12.921027093925007,13.481775022453041,20.0,0.00041546669626198185,0.0006969519464501417,0.0005169579724722199,0.0016293766151843434,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T08:19:12,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,0.67455875199812,7.720196097420976e-06,1.1444629853045328e-05,21.208739039767547,25.68082786949627,20.0,7.1144318026516995e-06,9.398340852229126e-06,3.7528687611079617e-06,2.0265641415988895e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T08:20:02,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,49.90927824100072,0.0007596660498765093,1.5220940956867128e-05,25.30882522918337,42.96275606751875,20.0,0.00040248172698512455,0.0013143835515063707,0.00027727056578336887,0.0019941358442748637,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T08:20:10,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.480788772008964,0.00016024752304437395,2.1421221723154584e-05,26.148812125894125,64.28381233371196,20.0,6.829974547308687e-05,0.00031079413752355123,4.1558494072200494e-05,0.0004206523770688385,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T08:20:21,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,11.061157368996646,0.00016212450703286885,1.4657118423355287e-05,27.15998674418384,69.13081803242956,20.0,7.727406793031633e-05,0.0002868577294861119,6.144769341667094e-05,0.0004255794908330987,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T08:20:28,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.464858631006791,0.00015981480963417794,2.1408956139903e-05,26.99770498865794,80.7004794882479,20.0,6.674214811590307e-05,0.00031130080459629283,4.1473544555628876e-05,0.000419516497267825,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T08:20:39,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,11.024139271001332,0.0001621754183860327,1.471090771892478e-05,27.587051638606564,82.16179985478078,20.0,8.155630385610346e-05,0.0002829143929976574,6.124243711666262e-05,0.0004257131339704236,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T08:20:47,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.386531997995917,0.00015908669966424897,2.1537418690705306e-05,27.56915825520133,89.75680782383098,20.0,6.775456670361085e-05,0.00030881691371975606,4.103371622776546e-05,0.0004176051966511326,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T08:20:58,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,11.166994379993412,0.0001613736229651888,1.4450957489679171e-05,28.0439751707542,89.97088029210366,20.0,7.652516760897274e-05,0.00028504772803827905,6.203551218891845e-05,0.00042360840783617,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T08:21:05,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.447194470994873,0.00016026878437637405,2.152069505518878e-05,27.831192177988285,95.46488307456826,20.0,6.821521179434589e-05,0.0003111221933420616,4.137078327775168e-05,0.00042070818841415895,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-19T08:21:15,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,10.171296482003527,0.00015621195829966777,1.5358133117693515e-05,28.23301398544098,95.47766752372046,20.0,8.341307478596308e-05,0.00027014216055798457,5.650371806113991e-05,0.0004100589534050871,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-19T08:21:23,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.409055679003359,0.000159340012990511,2.150613301257869e-05,28.371317366453525,99.6414074303193,20.0,6.922498593550305e-05,0.00030788607964193915,4.115908271107608e-05,0.00041827014828851785,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-19T08:21:33,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,9.80420382898592,0.00014975767009924685,1.5274851487468763e-05,28.706386278426468,99.40751881033268,20.0,7.622022986502122e-05,0.00026243159883376777,5.44645122888647e-05,0.00039311634098765456,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-19T08:21:40,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.402784249003162,0.00015905000206618922,2.1485180476813166e-05,28.702468184898372,102.76266542314497,20.0,6.851453814492314e-05,0.000307872468520376,4.11218581888534e-05,0.0004175088648541523,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-19T08:21:50,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,9.63262730599672,0.00015047836042405768,1.5621709700817884e-05,28.973431039256543,102.40473100417388,20.0,8.187187188633469e-05,0.0002596254854778657,5.351080754998185e-05,0.0003950081649141818,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-19T08:21:57,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.405173135994119,0.00015846999306998524,2.1399924190177803e-05,29.085773980955874,105.16361856501516,20.0,6.77429191942927e-05,0.00030710607901784925,4.1137333511142e-05,0.0004159863317232844,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-19T08:22:07,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,9.633762131008552,0.0001514371924062649,1.5719433677558755e-05,29.284715426861105,104.7772188851322,20.0,8.123795526808822e-05,0.00026277409910813176,5.351306022219229e-05,0.0003975251145984116,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-19T08:22:14,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.394121171004372,0.00015915455341499862,2.1524476464699857e-05,29.3619990841488,107.14903831168829,20.0,6.896128072453322e-05,0.0003077463573077921,4.107567582775835e-05,0.00041778331386008345,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-19T08:22:24,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,9.620068987002014,0.00015012139736118304,1.56050397690562e-05,29.559128203685145,106.61710391810702,20.0,8.272502312440741e-05,0.00025790131743219646,5.344479046107153e-05,0.0003940711310176752,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-19T08:22:31,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.417201250005746,0.00015915425286756966,2.145745852117866e-05,29.64255619297779,108.63195777384787,20.0,6.975260024647684e-05,0.00030682607879395363,4.120384587772102e-05,0.00041778252491815084,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-19T08:22:41,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,9.610473742999602,0.00015061442850291228,1.5671919959219e-05,29.82003382503035,108.11424534326828,20.0,8.239499313816151e-05,0.0002595821521098607,5.338820060553384e-05,0.0003953653458535558,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-19T08:22:48,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.404040863999398,0.00015823221989587789,2.1371094603975342e-05,29.875112177453744,109.90365388146381,20.0,6.724606018569668e-05,0.00030698524558792073,4.1130867466644206e-05,0.0004153621732402614,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-19T08:22:59,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,10.57192627900804,0.00015911682701103338,1.5050858459954618e-05,29.973506915571104,109.26209835670473,20.0,8.143675987157609e-05,0.00027751799979247593,5.872952176667044e-05,0.00041768428143072224,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_10,2026-09-19T08:23:06,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.45183476699458,0.0001606538170867743,2.1558975512468292e-05,29.911680257104535,110.90727216682541,20.0,6.903087744688022e-05,0.0003112910823657167,4.139694578334462e-05,0.00042171890559594173,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_10,2026-09-19T08:23:17,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,11.058620398995117,0.00016216588570899977,1.4664209623532529e-05,30.022563203418773,110.17165071084395,20.0,8.23283464181819e-05,0.00028192578109642596,6.143398302220797e-05,0.00042568811053681627,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_11,2026-09-19T08:23:25,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.39908981800545,0.00015919123796216857,2.1514975825425928e-05,29.934991211134733,111.63288382367097,20.0,6.926635430192646e-05,0.00030750969045190146,4.1103566644435166e-05,0.0004178796113982631,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_11,2026-09-19T08:23:36,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,11.214642660997924,0.0001605465612733361,1.4315809085872013e-05,30.037915024046246,110.93519479790014,20.0,7.224932335496773e-05,0.00028688772950991037,6.23003044611123e-05,0.0004214373573259902,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_12,2026-09-19T08:23:43,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.431055064997054,0.0001587970895650364,2.1369391846498637e-05,29.838855687639487,112.28706259388119,20.0,6.566131891790408e-05,0.0003099021923658185,4.1281454105531606e-05,0.0004168449653892542,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_12,2026-09-19T08:23:54,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,11.080713155999547,0.00016317748501550738,1.4726274797574176e-05,29.89120451719525,111.61304324067073,20.0,8.342221312660283e-05,0.0002833652266920339,6.155613549441727e-05,0.0004283435753130536,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_13,2026-09-19T08:24:02,tdmpc2_Ant-v5_seed85062,6a220e3a-1667-44aa-9e7c-08bfcfcfcbbd,7.406305693992181,0.00015887430202867273,2.145122692186969e-05,29.82575255874621,112.83530690796378,20.0,6.83432330078719e-05,0.00030756052382630017,4.114389253890216e-05,0.00041704764937307466,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
