task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-10T16:52:39,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,90.0027917970001,0.0006210015009295892,6.899802371126854e-06,13.610548944658422,13.564041059916617,20.0,0.00041017277036017874,0.0007022430617940056,0.0005177232961555394,0.0016301391283097236,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-10T16:52:40,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,0.6797345800005132,8.140369135349254e-06,1.1975533040758957e-05,21.44257510598068,27.67531151950808,20.0,7.031966736681383e-06,1.0559175114055463e-05,3.777460683320648e-06,2.1368602534057495e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-10T16:53:40,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,59.96063991600022,0.0011461451928574179,1.9114963898883837e-05,25.33185470354909,53.243325274170274,20.0,0.0005111908286745577,0.002164348120366033,0.0003331109862722264,0.003008649935312817,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-10T16:53:52,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.985777024998242,0.0002671015095161615,2.2284887028289987e-05,26.480675053513334,73.64936512550403,20.0,0.00011759858518990696,0.0005169606913459912,6.658656810555434e-05,0.0007011458446414525,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-10T16:54:04,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.894260635999672,0.0002298261560302107,1.932246626500352e-05,27.89249844269194,83.31544419974684,20.0,0.00010229018127652298,0.0004349317368339545,6.607551207776449e-05,0.0006032974301882418,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-10T16:54:16,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.927357177999511,0.0002647226782564369,2.2194591330241637e-05,28.365303539769346,93.672685548203,20.0,0.00011241403076448636,0.0005162268018700233,6.626054092222244e-05,0.0006949013735567319,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-10T16:54:28,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.96594922299846,0.00022940174246331713,1.917118689525618e-05,29.01569939121235,98.40279168306223,20.0,9.859873054558765e-05,0.000437111183022032,6.647342404444826e-05,0.0006021833376120677,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-10T16:54:40,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.93892440000127,0.00026367133865618777,2.2085028694124384e-05,29.12110846783169,104.73320961394683,20.0,0.00011053532120596302,0.0005152801344459057,6.632613420555966e-05,0.0006921415898574297,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-10T16:54:52,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.924342989997967,0.00023016937427367294,1.9302494561654446e-05,29.519768185448395,107.42808867827019,20.0,0.00010180013755115708,0.00043615507114602714,6.624317501110555e-05,0.0006041983837082893,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-10T16:55:04,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.927005827998073,0.0002660356392515401,2.230532354176012e-05,29.650981632239407,111.9568596832397,20.0,0.00011114436613764503,0.0005209448611999123,6.625869037222101e-05,0.0006983479177097782,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-10T16:55:16,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.945496823002031,0.00023101617780665667,1.9339192224961242e-05,29.95874643309109,113.5925139806675,20.0,0.00010344891442573209,0.000436610904844037,6.636143760555967e-05,0.0006064212568753294,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-10T16:55:28,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.92773428000146,0.00026590901271772395,2.2293344053156683e-05,30.071269175169334,116.89290819444105,20.0,0.00011326631727964775,0.0005184881925680562,6.626101113332773e-05,0.0006980155209810324,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-10T16:55:40,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.943768584998907,0.00023265677124731203,1.9479348544719255e-05,30.346100640794297,118.04586998012579,20.0,0.00010302350019651338,0.0004413531308600227,6.635121051666733e-05,0.0006107278415732036,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-10T16:55:52,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.930112484002166,0.00026554412954683804,2.2258317704237544e-05,30.408094235984063,120.61443560797643,20.0,0.00011200077265610328,0.0005187898594760654,6.626706453888688e-05,0.0006970576966710551,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-10T16:56:03,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.93711335899934,0.00023313456261058862,1.9530201246437725e-05,30.60581809912902,121.41414771578671,20.0,0.00010332730210622226,0.0004423420205399431,6.631272909445323e-05,0.0006119820517406192,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-10T16:56:15,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.93239450100009,0.00026651324201929123,2.2335279558755125e-05,30.65336854173769,123.49673571095867,20.0,0.00011354309444551111,0.0005197695824820103,6.628895588332352e-05,0.0006996016328108447,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-10T16:56:27,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.941498851996585,0.00023156406389056826,1.939154232821505e-05,30.83882161994972,123.97601182829811,20.0,0.00010333900072669044,0.0004381906283299486,6.632983777777159e-05,0.0006078594668344102,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-10T16:56:39,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.939136043001781,0.00026710535864756055,2.23722553108843e-05,30.86695159133252,125.74414861455467,20.0,0.00011227293787383075,0.000522556806934027,6.632620386666944e-05,0.0007011559486745263,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-10T16:56:51,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.952800193997973,0.00023192979895059022,1.9403812927068564e-05,31.005090965360345,126.06376904274023,20.0,0.00010371070407960703,0.0004387072954099569,6.64015278777799e-05,0.0006088195273673443,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-10T16:57:03,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.931585438000184,0.00026803643435840355,2.2464457885026438e-05,31.029622709028406,127.56469239141705,20.0,0.00011504599787005854,0.0005222695844820935,6.628445533889225e-05,0.0007036000376910451,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-10T16:57:15,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.887782697998773,0.00023305628704204523,1.960469452924949e-05,31.18645030847796,127.8240940687051,20.0,0.00010567101425896716,0.00044006562983001096,6.603993299999665e-05,0.0006117765770889752,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-10T16:57:27,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.936727168998914,0.00026654111687395444,2.2329509570156235e-05,31.22968234740232,129.08357912848473,20.0,0.0001134953516295431,0.0005198670825599105,6.63123705722077e-05,0.0006996748047616609,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-10T16:57:39,tdmpc2_Ant-v5_seed958,9ebc3d30-c95a-4442-ad1c-889a68e5fffc,11.959105113997794,0.00023280822264375948,1.9467000509808435e-05,31.341543740222345,129.265553582132,20.0,0.00010138981222289692,0.0004432997990840848,6.643579266666245e-05,0.0006111254039736433,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
