task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T16:07:20,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,90.0034747239988,0.000616554953148178,6.85034577527251e-06,14.215695553430574,13.067850482189357,20.0,0.0004258521320703243,0.0006756122071560067,0.0005170025282055577,0.0016184668674318885,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T16:07:21,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,0.6759318580006948,8.13150817028025e-06,1.2029812688212044e-05,21.757682584390583,27.611888595227914,20.0,6.94227888715232e-06,1.0647786296003048e-05,3.755277172220106e-06,2.1345342355375474e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T16:08:11,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,50.079299749999336,0.0008904703455618074,1.7781207751118857e-05,25.48491058996543,50.7389252588827,20.0,0.00038831852704347,0.001670965225660015,0.0002782155137666753,0.00233749926647016,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T16:08:22,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,10.765732277999632,0.000233313818763061,2.167189751782253e-05,26.069413175427957,70.88104093407799,20.0,9.974400229513514e-05,0.00045290036231998565,5.980823746667735e-05,0.0006124526020817979,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T16:08:31,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,9.849323419999564,0.0001804018991081399,1.8316177832959694e-05,27.235371151237974,79.49389907777963,20.0,8.354809794953316e-05,0.0003352944349020448,5.4715412044445e-05,0.00047355794489602285,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T16:08:42,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,10.676677766001376,0.0002343410914214558,2.1948900696892884e-05,27.752474487727543,90.0409160800082,20.0,0.00010113890757772193,0.00045469841931394805,5.9311882772211276e-05,0.0006151492096638815,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T16:08:52,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,9.88059437300035,0.00017898839357146376,1.8115115643100095e-05,28.496850576905224,93.90789560324461,20.0,8.293813746157452e-05,0.0003320199878379948,5.4889344372208615e-05,0.00046984746967177783,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T16:09:03,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,10.683420448000106,0.00023454772646576416,2.1954385049660922e-05,28.72709801896534,100.51042996307785,20.0,0.00010133001523061208,0.00045501175289802687,5.9349861916679295e-05,0.0006156916300453187,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T16:09:13,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,9.975474563998432,0.0001783633956108947,1.788021520431438e-05,29.196486333406863,102.66017428511195,20.0,7.472871978292384e-05,0.0003380622148939638,5.5415905094458864e-05,0.00046820683977134674,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T16:09:23,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,10.68789260199992,0.00023410967790167374,2.1904212398935068e-05,29.048086553039774,107.27479439405752,20.0,9.969820920294192e-05,0.0004554689754859842,5.9374560688876246e-05,0.0006145417453778017,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-18T16:09:33,tdmpc2_Ant-v5_seed958,b82787a8-5a23-464e-b2b9-5cb7ebe66c46,9.819984295001632,0.0001800442511303321,1.833448666541356e-05,29.403395840771395,108.52840475387018,20.0,8.442683309696497e-05,0.00033363998913404913,5.4552290855564055e-05,0.0004726191130865788,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
