task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T23:48:15,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,90.00358489200153,0.0006077375459134878,6.752369776913612e-06,14.97639304915333,12.75343302491307,20.0,0.00041854438872412913,0.0006595905276718383,0.0005171861123833676,0.0015953210287793353,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T23:48:16,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,0.672734379004396,8.141696481677048e-06,1.2102169427702373e-05,22.257910605096082,27.552999136407376,20.0,6.9203910918608225e-06,1.0705841898106527e-05,3.7458538499776867e-06,2.1372086839945145e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T23:49:28,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,72.33241139700112,0.0013868838503969098,1.9173757069457943e-05,25.86706194274123,54.06522090363923,20.0,0.0005543942337928182,0.0026843552030377804,0.0004018434241666708,0.003640592860997269,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T23:49:42,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,13.282497733998753,0.0002959568085368473,2.228172016466839e-05,26.310745902387698,74.46313920703669,20.0,0.00012733448908973377,0.0005757671272801357,7.378986161109225e-05,0.0007768914779809613,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T23:49:56,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,14.154137806996005,0.00028298452246506125,1.999308022030741e-05,27.64878506622492,84.8752926248094,20.0,0.00012582153232380822,0.0005383848751518983,7.863260673891793e-05,0.0007428390142146246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T23:50:09,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,13.195134871995833,0.00029449736952997163,2.2318642792930817e-05,28.291574685571554,95.1491067734282,20.0,0.00012508158395407865,0.00057467518196197,7.330366072779326e-05,0.0007730604266438417,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T23:50:23,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,14.209172353999747,0.00028103540400903305,1.9778418665424746e-05,28.99098270951641,100.29217113604228,20.0,0.00012085499168391911,0.0005379309859001591,7.893656870554787e-05,0.0007377225462896261,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T23:50:36,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,13.20265063399711,0.00029466059102335653,2.231829368547421e-05,29.196050055090193,106.61469329054609,20.0,0.00012366162031811345,0.0005764815722959504,7.334569312778417e-05,0.0007734888857418472,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T23:50:51,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,14.420739178996882,0.00028061672093147513,1.945925532000726e-05,29.611044943796323,109.52298187607781,20.0,0.00011295610675368661,0.0005435551570660557,8.011223252223218e-05,0.000736623496341975,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T23:51:04,tdmpc2_Ant-v5_seed958,fe05d20d-a406-4458-a56d-4f2548f17742,13.224946575996,0.0002946135146582058,2.227711622605647e-05,29.5188340953145,113.81129487473372,20.0,0.0001242830419263541,0.0005756132382679358,7.34690293166852e-05,0.0007733653095109757,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
