task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T14:17:48,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,90.00334089700482,0.0006144064567982195,6.826484758692308e-06,13.067875123298471,13.215772666621389,20.0,0.0004126450459491088,0.0006832138799039988,0.0005169681034111514,0.001612827029264259,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T14:17:49,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,0.685790460993303,8.349941298877546e-06,1.2175481261179511e-05,21.064882650621893,28.12831875868824,20.0,7.084287334091499e-06,1.1028897711984342e-05,3.8055478555583996e-06,2.191873290163424e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T14:19:05,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,75.15581627600477,0.0014158733231065842,1.8839174282945613e-05,25.031058187003314,53.79634495220573,20.0,0.0005685084531397364,0.0027306530178541344,0.00041752923147780365,0.0037166907024716736,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T14:19:21,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,16.665475841000443,0.0003731498308027631,2.239058697186386e-05,25.55346794622305,74.50830696052576,20.0,0.00015850313902462942,0.0007284372494158475,9.258403944444982e-05,0.000979524427884927,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T14:19:36,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,14.784110110005713,0.00028740708870754776,1.9440290265766887e-05,26.960625339353495,84.26627408965358,20.0,0.00012591505128752012,0.0005464026593440252,8.213061252778666e-05,0.0007544483231593322,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T14:19:53,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,16.594138447995647,0.00037209489447237367,2.242327762575454e-05,27.51446140513431,94.82449630789064,20.0,0.00015548598994424845,0.0007290822499324001,9.21869628333499e-05,0.0009767552027099983,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T14:20:07,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,14.794781019008951,0.00028747643402781374,1.9430913943889013e-05,28.261330713338673,99.65531353397603,20.0,0.00012394092359709757,0.0005484998832434584,8.218954892217885e-05,0.0007546303557627344,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T14:20:24,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,16.60345535200031,0.00037015089363325645,2.229361220562401e-05,28.488897013788364,106.12698886670111,20.0,0.00015123949349149512,0.0007281803047662905,9.223237035556743e-05,0.0009716521686133524,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T14:20:39,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,15.093769011000404,0.0002862438261018933,1.8964379374532657e-05,28.87961827404323,108.78425582621153,20.0,0.00011118949811819018,0.0005563540561941416,8.385118542226133e-05,0.0007513947397345937,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T14:20:56,tdmpc2_Ant-v5_seed958,e8c7fae6-2e1d-42c0-b4c7-3d3bb9ae7bad,16.59229770299862,0.000372796498572206,2.2468046584641695e-05,28.703120782717836,113.31544101386811,20.0,0.00015529745951565338,0.0007311191960059915,9.218026946117698e-05,0.0009785969249828212,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
