task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T13:35:54,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,90.00349135999932,0.000600107432562864,6.667601444695391e-06,13.42875823351813,12.540000221476282,20.0,0.0004096031607378203,0.0006485246854860127,0.000517164009827785,0.0015752918560516182,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T13:35:54,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,0.1582053759993869,1.5514675650936567e-06,9.805396603025386e-06,21.027687030696352,20.361778106511597,20.0,1.616784626762291e-06,1.5791679299770323e-06,8.766752555553793e-07,4.0726278122947025e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T13:36:43,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,48.719037883000055,0.0008441009190054578,1.7325900178602717e-05,24.77864650328341,44.52447532660102,20.0,0.00036159875594544283,0.001583522100150031,0.00027065790491110926,0.002215778761006583,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T13:36:52,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,8.999092211999596,0.0001926991585658568,2.1413184173475573e-05,25.30355586314211,65.51375489662678,20.0,8.221248160326933e-05,0.00037363252112798673,4.999344999444776e-05,0.0005058384527257039,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T13:37:03,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,10.822631864000869,0.00018235190397783386,1.6849146479581456e-05,26.46891350041571,73.39086082691985,20.0,7.953572168409306e-05,0.00033901916010400934,6.012185788333425e-05,0.0004786767396714369,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T13:37:12,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,8.890989259998605,0.00019165856334749662,2.1556506094273248e-05,26.572219795750073,84.42000374455266,20.0,8.180398738758671e-05,0.00037191113086199046,4.939175495555898e-05,0.0005031068732051364,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T13:37:23,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,11.214306314999703,0.0001811376854601145,1.615235515263237e-05,27.281830910014808,87.60778166562517,20.0,7.079002635419773e-05,0.0003424011072540034,6.22982625333255e-05,0.00047548939614152665,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T13:37:32,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,8.93458948999978,0.00018965346378229742,2.1226895420167886e-05,26.880498748758768,94.46870887212698,20.0,7.760185985921514e-05,0.0003706139076020132,4.9627686488889176e-05,0.0004978434539501175,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T13:37:43,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,11.034491983000407,0.0001842429593907854,1.6697014476365307e-05,27.274797344717257,96.19955896501833,20.0,7.974142657087013e-05,0.00034259944074599424,6.129992383889157e-05,0.00048364079115575595,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T13:37:52,tdmpc2_HalfCheetah-v5_seed14577,ea0197a5-8ab9-4d9e-ad8e-74a236a7eaea,8.892439483999624,0.00018968541112516363,2.1331097937608083e-05,27.22738262643478,100.98933637207946,20.0,8.077198656197826e-05,0.00036775529420396413,4.94000354833385e-05,0.0004979273162492807,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
