task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T04:26:46,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,90.0035762280022,0.0006090102628310345,6.766511440964493e-06,10.155719235649748,12.787216393057156,20.0,0.00042018533281466125,0.000661311362381678,0.0005171652363721984,0.0015986619315685377,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T04:26:47,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,0.15273202199750813,2.186882779341647e-06,1.4317201617330165e-05,20.036690099224653,33.45272243384037,20.0,1.7149660941975786e-06,3.176669208126981e-06,8.489678722172845e-07,5.740603174541736e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T04:27:37,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,50.249604261996865,0.0007225861183580914,1.4379938152767495e-05,24.89914755779639,48.09113926236998,20.0,0.0003333585000199202,0.0012842721385282196,0.0002791697771444484,0.001896800415692588,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T04:27:44,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.7159272170029,0.00014345463165796692,2.1360360906997286e-05,24.92913321375747,68.43084495605474,20.0,5.9826334527696146e-05,0.0002794346679917403,3.7309759149987574e-05,0.00037657076166942383,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T04:27:54,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.245945048001886,0.000151042359992746,1.474168079273345e-05,26.018944536127126,72.65008395417674,20.0,7.278378683809456e-05,0.0002667882689859624,5.6916617211108024e-05,0.0003964886730351649,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T04:28:01,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.6242928489955375,0.0001428518725273807,2.156486618014205e-05,26.110081372908656,83.78587851774562,20.0,6.108882748213917e-05,0.0002771007772359724,3.679890434444438e-05,0.0003749885090625557,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T04:28:11,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.1974908350021,0.00015093499533029857,1.4801167467557138e-05,26.920441846521655,84.96765952260478,20.0,7.545527425305981e-05,0.0002641021557261425,5.664940905557574e-05,0.00039620683903477793,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T04:28:18,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.633748740001465,0.00014371240700870739,2.1663850607529094e-05,26.98566902881429,92.41227863629348,20.0,6.0377701357673674e-05,0.00028001827956991576,3.685144526668102e-05,0.00037724742619427067,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T04:28:28,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.225958201001049,0.00015039477448656026,1.4707168113010668e-05,27.50430896667897,92.43618853402391,20.0,7.481372818426979e-05,0.0002631674327560063,5.680758951663546e-05,0.0003947887504569111,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T04:28:35,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.633265033997304,0.00014238607675451376,2.1465462271419584e-05,27.478759758835643,97.69499198981681,20.0,6.0024359408335226e-05,0.0002768924437361875,3.6848984372247475e-05,0.0003737657875167704,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-19T04:28:45,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.195036992001405,0.00015096006289716307,1.480722231811973e-05,27.856926163818958,97.33775027830359,20.0,7.512068342983153e-05,0.0002645157671681275,5.663619121110564e-05,0.0003962726418090647,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-19T04:28:51,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.6336961709967,0.00014402716791343893,2.1711464311289445e-05,27.826178585867858,101.55030430377596,20.0,6.096524849438095e-05,0.0002802574464277896,3.6850983811099374e-05,0.0003780736787332697,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-19T04:29:02,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.324787489997107,0.0001485198650158226,1.4384803906129399e-05,28.14065851069689,100.88020973541155,20.0,6.818194760107449e-05,0.0002643282670180547,5.735686771667038e-05,0.0003898670823357991,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-19T04:29:08,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.637348563002888,0.0001419545459270359,2.1387259470935393e-05,27.929550008747853,104.14872171129691,20.0,5.9394782793570355e-05,0.0002763671655379163,3.6871063683308145e-05,0.00037263301201479436,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-19T04:29:19,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.206433410996397,0.0001507807622280464,1.4773084395979768e-05,28.165430165365105,103.44782471878483,20.0,7.567564470713911e-05,0.0002634354885260315,5.669084137779369e-05,0.0003958019746109634,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-19T04:29:25,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.646436289003759,0.00014438078252126214,2.1723051794320587e-05,28.139452496630415,106.26498376596004,20.0,6.268704737182051e-05,0.0002793927235140714,3.692215199444025e-05,0.0003790019228803315,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-19T04:29:35,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.211004580000008,0.0001505589648720506,1.4744786249581829e-05,28.425145906263293,105.5101123827083,20.0,7.563919301130373e-05,0.0002628560436179761,5.672451628330839e-05,0.00039521975291258865,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-19T04:29:42,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.634390518003784,0.00014284532384119947,2.153106503335098e-05,28.384899929142666,107.84224847213437,20.0,6.203086934687685e-05,0.00027608549864588383,3.685495066112904e-05,0.0003749713186538897,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-19T04:29:52,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,10.37700547699933,0.00014966848279083633,1.4423106771139299e-05,28.601565709345543,107.09580035709521,20.0,6.747617925868116e-05,0.0002677682697700412,5.763777381111537e-05,0.0003928822228398375,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-19T04:29:59,tdmpc2_HalfCheetah-v5_seed14577,4878f8b5-fca1-4479-a9e7-49a72910f0e3,6.643110969998816,0.00014301858209071804,2.1528872407917335e-05,28.412230711086956,109.21021799509006,20.0,5.897894773867346e-05,0.0002795438347460433,3.690334191669528e-05,0.00037542612440141267,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
