task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T10:40:30,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,90.00338888799888,0.0006118622789546216,6.798213463771187e-06,12.174565156798044,13.135471187651035,20.0,0.0004095604195925185,0.0006793791546138017,0.0005172089464778158,0.001606148520684136,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T10:40:31,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,0.15280554498895071,2.1669921794448916e-06,1.4179518623760322e-05,20.26157625307171,34.47451216467196,20.0,1.571601535058434e-06,3.2697248384394584e-06,8.470636499825291e-07,5.68839002348053e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T10:41:42,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,70.72519737201219,0.0013346423392730682,1.8870821027981784e-05,24.272115707139726,58.670210836001566,20.0,0.0005318928491250506,0.0025786503962517138,0.00039291479182777247,0.0035034580372045364,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T10:41:55,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,13.605549646003055,0.00030230125205788026,2.2218966746052944e-05,24.929176872912777,78.16238902443608,20.0,0.00012795633486498842,0.0005900110275645076,7.557838388335455e-05,0.0007935457463128506,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T10:42:09,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,13.669433497998398,0.000271557029850069,1.9866023859859935e-05,26.40135202231092,87.65873560607584,20.0,0.0001237867593071075,0.0005131170771597304,7.593782214995975e-05,0.0007128416586167979,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T10:42:23,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,13.533554893991095,0.00030249071563624805,2.2351184661745157e-05,27.308736287001715,97.48247989781395,20.0,0.00013082532104906341,0.000588034081537625,7.518368872778307e-05,0.000794043091314472,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T10:42:36,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,13.789318846000242,0.0002711295090926198,1.9662260623383757e-05,28.212220805585797,102.12669189679288,20.0,0.00011943024693301246,0.0005156854125480947,7.660375013333063e-05,0.0007117194096144374,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T10:42:50,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,13.564879254001426,0.00030306629609564133,2.2342001851457332e-05,28.56327375077558,108.24760391290553,20.0,0.00012784101255050584,0.0005923571405519468,7.53558463611019e-05,0.0007955539994635545,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T10:43:04,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,13.957508049003081,0.0002689355872516064,1.926817466223917e-05,29.063417005672704,110.7407785807429,20.0,0.00011209422411975409,0.00051632791306222,7.753819160554679e-05,0.0007059603287875218,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T10:43:18,tdmpc2_HalfCheetah-v5_seed14577,d7681d5f-1672-44eb-888f-00af53df2fae,13.554248286003713,0.0003030521116991168,2.2358469285780583e-05,29.07831602422849,115.02875643552112,20.0,0.0001256955797230494,0.0005945221422836156,7.529904318329898e-05,0.0007955167651899648,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
