task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T12:23:15,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,90.00481897999998,0.0006202544196570233,6.891346219629965e-06,12.822348785330082,13.453591723243653,20.0,0.0004138138332730225,0.0006965913906060023,0.0005177728038333346,0.0016281780277123594,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T12:23:16,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,0.16394645899981697,1.5854735828490629e-06,9.669496841384872e-06,20.60609889073834,20.50839632189304,20.0,1.6713091148222448e-06,1.5788901519958598e-06,9.116948999993374e-07,4.1618941668173336e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T12:24:10,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,54.82859679500052,0.0008971428725957417,1.636268503484998e-05,24.43596646673437,43.405952294010746,20.0,0.00034317758120850847,0.001707241365792006,0.0003045958124055536,0.0023550147594060683,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T12:24:19,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,8.903287744999943,0.00019191390404696375,2.1555390546283372e-05,24.27169613527145,65.00891694054486,20.0,7.984145609533574e-05,0.00037447474402400177,4.946094661110892e-05,0.0005037771467304468,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T12:24:30,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,10.745976264999626,0.00018055336281358188,1.6801965044771943e-05,25.50820089891593,72.9981880349158,20.0,7.714340199245148e-05,0.0003371166585819929,5.9695479033330706e-05,0.000473955539607775,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T12:24:39,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,8.825654006999684,0.000191975581004217,2.1752015224657148e-05,25.657178343237714,84.47098660668641,20.0,7.907563603823733e-05,0.0003758339117780063,4.902950193888707e-05,0.0005039390497551307,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T12:24:50,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,10.744785209999463,0.0001806351271674985,1.681138963242022e-05,26.409777158277578,88.02315572055548,20.0,7.756178010493234e-05,0.00033691832508999514,5.969006718333338e-05,0.0004741701723782604,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T12:24:59,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,8.914054574000147,0.00019396272455171528,2.1759219120352928e-05,26.468682387656617,95.02296442172447,20.0,8.570226217286328e-05,0.0003739330769240018,4.951999507222561e-05,0.0005091553341690907,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T12:25:09,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,10.757300826000574,0.00018185133593380575,1.6904930705310034e-05,27.201800689411925,96.91988553889269,20.0,7.699398465069521e-05,0.0003406091613760015,5.9759594316670253e-05,0.00047736274034336675,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T12:25:18,tdmpc2_HalfCheetah-v5_seed331,5054633c-6856-438d-aced-d327de63ee45,8.825183453000136,0.000190905692065584,2.16319212366157e-05,27.140886117487813,101.90254185629773,20.0,8.016036440601851e-05,0.00037194335310999915,4.9026856222225256e-05,0.0005011305737382434,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
