task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T03:22:26,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,90.00346919099684,0.0006051692649742135,6.723843548957507e-06,11.748397712260445,12.697323778083195,20.0,0.0004147902754430659,0.0006566408030901361,0.0005171481706444159,0.0015885792491776177,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T03:22:27,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,0.1597075669997139,2.2528289731686517e-06,1.4104323275723039e-05,20.135177199173057,33.7114879149972,20.0,1.6627982746854342e-06,3.363336023909369e-06,8.87578716679484e-07,5.913713015274179e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T03:23:13,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,45.761412305000704,0.00068705643623749,1.5013886849057722e-05,24.275332321421903,48.97682747401224,20.0,0.00034466944767978097,0.0012046476303837483,0.00025421733914998993,0.001803534417213519,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T03:23:20,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,6.741091049007082,0.00014420265601290563,2.1391594831505587e-05,24.98413748009572,69.1995382702078,20.0,6.0042958034328686e-05,0.00028104216927804515,3.744921056111504e-05,0.000378534337873489,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T03:23:28,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,8.94754472799832,0.00013856639872874047,1.5486548392911587e-05,26.12746775484725,73.69671622968076,20.0,7.498923776912136e-05,0.00023904408012409561,4.97057521389151e-05,0.00036373907003213165,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T03:23:35,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,6.654067177994875,0.00014311932378968813,2.150855946877928e-05,26.756144671556708,84.67491367908228,20.0,6.04828003306461e-05,0.0002782432781500699,3.696449453329681e-05,0.0003756905730140127,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T03:23:44,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,9.33681393799634,0.0001405538431025889,1.5053705504653373e-05,27.43208884393313,85.96971883148073,20.0,7.06269781682034e-05,0.0002464613082797662,5.186785767222722e-05,0.0003689561441201968,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T03:23:51,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,6.650991770999099,0.00014351233073871738,2.157760556585642e-05,27.506148882081735,93.14766739618206,20.0,6.160799817524903e-05,0.00027816661142221477,3.694761310556107e-05,0.00037672222270302477,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T03:24:01,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,10.285712721000891,0.0001503954162549578,1.4621795051732689e-05,28.02320901723935,93.0425022031116,20.0,7.453306851529576e-05,0.00026311798827194366,5.713937832224473e-05,0.00039479043510948393,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T03:24:08,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,6.652488794003148,0.0001413501214683234,2.1247716104870404e-05,27.92212217681564,98.12039932762906,20.0,5.8949498270673834e-05,0.00027514077566803685,3.6956113955562316e-05,0.000371046387894273,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-19T03:24:18,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,10.382862929000112,0.00014913933571921714,1.436400953527746e-05,28.190953558701906,97.6118161652194,20.0,6.843748141660902e-05,0.00026537660118997053,5.7679120488885295e-05,0.00039149320309546463,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-19T03:24:25,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,6.657925493003859,0.00014238148205624824,2.1385282924017723e-05,27.937356698853055,101.6554038390552,20.0,5.903984695406275e-05,0.00027772799995995356,3.6985879444425065e-05,0.0003737537263584414,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-19T03:24:35,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,10.284780820999003,0.00015034988704809094,1.4618696171098863e-05,28.185984333288822,100.94152641697937,20.0,7.563707384294557e-05,0.0002618910428460186,5.7142803505525397e-05,0.0003946709201944898,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-19T03:24:42,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,6.648780864998116,0.00014256486200985843,2.1442272420578316e-05,28.139236123676092,104.14762410484526,20.0,6.206804993217491e-05,0.00027523188685196764,3.693516496112146e-05,0.0003742351017452638,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-19T03:24:52,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,10.279744120001851,0.00015069114803858584,1.465901529433407e-05,28.44077942060118,103.38099566381976,20.0,7.608981837180229e-05,0.00026236743211605074,5.710948540553441e-05,0.000395566735893387,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-19T03:24:59,tdmpc2_HalfCheetah-v5_seed331,45914c94-447a-4c38-bb9f-735bd6521cbb,6.657067719999759,0.00014366272894090907,2.158050481894661e-05,28.392501294183145,106.15014326281165,20.0,6.19682915190406e-05,0.0002781721669822268,3.697656194999585e-05,0.0003771170204512637,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
