task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T08:53:52,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,90.00340602200595,0.0006212549163759437,6.902570756327448e-06,10.846793608234519,13.580902106164258,20.0,0.0004117180254852651,0.0007021063950176654,0.0005169799275110968,0.0016308043480140271,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T08:53:52,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,0.155181909998646,2.210108189105997e-06,1.4239851069929776e-05,19.74870152944071,34.49573928025004,20.0,1.6443352043593595e-06,3.2944470795825964e-06,8.627879722755563e-07,5.801570256217404e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T08:55:03,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,71.13289754399739,0.0013388547017799909,1.882188250510486e-05,24.162074902515883,58.656542258391454,20.0,0.0005281626750298016,0.002591173461826024,0.0003951794210388875,0.0035145155578947132,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T08:55:17,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,13.598460434004664,0.000302761831777795,2.2264423395239457e-05,24.783038597267435,78.1535694347086,20.0,0.00012941612353281617,0.0005897932496123914,7.554540248885225e-05,0.0007947547756340595,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T08:55:33,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,16.549507073999848,0.0002909330947427767,1.757956456819925e-05,26.26943846790751,85.34348971791285,20.0,0.00011418877746206119,0.0005575771127275253,9.193825666111983e-05,0.0007637041468507065,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T08:55:47,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,13.5386047159991,0.0003005129390501117,2.21967447674891e-05,26.15414830631932,95.46017977119241,20.0,0.00012637985027046106,0.0005872596364739913,7.52119085833127e-05,0.0007888513953277646,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T08:56:01,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,14.1795716760098,0.00027189677330469956,1.9175220585112878e-05,27.04497036600395,100.07820802871974,20.0,0.00011348682328938403,0.0005214768060697317,7.876986140003682e-05,0.0007137334907591532,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T08:56:15,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,13.571699246997014,0.0003011391047687117,2.2188761504759537e-05,27.28109622365662,106.27079706710005,20.0,0.00012771756911841847,0.000587381581016011,7.539594047775602e-05,0.0007904950906121849,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T08:56:29,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,13.805965760999243,0.000270926585228455,1.9623893497151675e-05,27.921627870091793,109.06252405033929,20.0,0.00011989931841938084,0.0005145909672279458,7.669644549443758e-05,0.0007111867311417643,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T08:56:42,tdmpc2_HalfCheetah-v5_seed331,afc59ab7-78fa-4f5d-9088-615971e933c5,13.53404675499769,0.0003030115829321567,2.2388845618495084e-05,28.248657523542953,113.39233419259207,20.0,0.00013116604937720572,0.0005890574156901529,7.518691144440615e-05,0.0007954103765117643,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
