task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T14:13:09,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,90.00345228999868,0.0006089884277330508,6.766278197161816e-06,13.271480418356571,12.917255681362748,20.0,0.0004134174276781221,0.0006680283121999753,0.0005171588741999989,0.0015986046140780963,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T14:13:10,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,0.1556547580003098,2.163367103821096e-06,1.3896677408553663e-05,21.094965674453324,33.28534831322798,20.0,1.6133599017980607e-06,3.2011136720244693e-06,8.644005666711384e-07,5.678874140493777e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T14:14:05,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,54.75559656599944,0.0009036450075475378,1.650325035444609e-05,24.953729330651395,52.68147325774519,20.0,0.000381578867485072,0.0016863085712680026,0.00030419553157777653,0.002372082970330851,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T14:14:14,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.924693078999553,0.00019300836390061856,2.162632674531202e-05,25.153909634631106,72.44033106097035,20.0,8.158083637572772e-05,0.0003754919670599932,4.957731836666428e-05,0.000506650121802385,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T14:14:25,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.810748239999157,0.000180466212528773,1.669324252321816e-05,26.339412744708863,79.00171176522221,20.0,7.792519317343792e-05,0.0003357449908180099,6.005658468888624e-05,0.00047372676868033363,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T14:14:33,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.846964374999516,0.0001906235248915712,2.1546786621216857e-05,26.403008199319004,89.16036027207961,20.0,8.235872810915211e-05,0.00036888390621797607,4.9147245949997275e-05,0.0005003898802771259,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T14:14:44,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.833877372000643,0.0001826576221925758,1.685983554825768e-05,27.209050714171276,92.14458834160835,20.0,7.918136223392797e-05,0.0003401186054280414,6.017928733888559e-05,0.00047947925500085517,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T14:14:53,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.845112159000564,0.00019119224692954817,2.161559538654487e-05,27.202508427205558,98.6139434680171,20.0,8.33085691468022e-05,0.00036943723999399714,4.913697581667093e-05,0.00050188278495747,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T14:15:04,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.834225110000261,0.00018114107627349545,1.6719355377324082e-05,27.804134962000557,99.91103093725664,20.0,7.951179916494406e-05,0.00033579971308400625,6.0186784833331404e-05,0.00047549829708228193,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T14:15:13,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.833733102999759,0.00019213576049433067,2.17502333473269e-05,27.75105055640553,104.63556616494475,20.0,8.261002331018809e-05,0.00037267529814000167,4.907420209445063e-05,0.0005043595235446402,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-18T14:15:24,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.847046421000414,0.00018048252686942053,1.6638877114986872e-05,28.18414073754957,105.19866475078618,20.0,7.789225120264026e-05,0.00033561915738400394,6.025818550554809e-05,0.00047376959409219186,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-18T14:15:33,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.855989641999258,0.00019192110722242956,2.1671338140531783e-05,28.067304070736586,108.76660824053994,20.0,8.172370926780412e-05,0.00037287502052196775,4.919732539445049e-05,0.0005037960551842226,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-18T14:15:43,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.838781423999535,0.00018114735770028562,1.6712910163022747e-05,28.389721083887256,108.97486261023839,20.0,7.906780325419227e-05,0.0003362347134320265,6.021226924444317e-05,0.00047551478593066236,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-18T14:15:52,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.82950811900082,0.00019192273543840047,2.173652628069682e-05,28.29867348272533,111.85996563587419,20.0,8.135098869185018e-05,0.000373399465386004,4.9049875200004494e-05,0.0005038003292778589,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-18T14:16:03,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.554721964999771,0.00017910206875886795,1.6968879929369007e-05,28.569444988951556,111.93305612783199,20.0,8.014140966863164e-05,0.0003313705428739655,5.8633916361112634e-05,0.00047014586890370934,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-18T14:16:12,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.84526448500037,0.00019190288866902582,2.1695573454762325e-05,28.533518246927038,114.29186813362432,20.0,8.10800268084143e-05,0.0003735305766019992,4.913762777222362e-05,0.0005037482311826373,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-18T14:16:21,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,9.374191306000284,0.00016711561166726698,1.7827215347026693e-05,28.759144263408743,114.57838685205178,20.0,7.558314268868785e-05,0.00031102247103997893,5.2075608655549306e-05,0.00043868122238421674,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-18T14:16:30,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.846107822999329,0.00019226638837323024,2.17345878941789e-05,28.79912445643656,116.54196892182594,20.0,8.235209893718174e-05,0.00037320779856603314,4.914252636666191e-05,0.0005047024238698777,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-18T14:16:39,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,9.375131128001158,0.00016890148534293766,1.8015932239106216e-05,29.01556459480946,116.74059770895106,20.0,7.742984277715791e-05,0.00031385413997203626,5.208518733333125e-05,0.0004433691700825252,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-18T14:16:48,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.84853676000057,0.00019127014546033855,2.1616038339240455e-05,29.070927027225963,118.34637956444493,20.0,8.313061817110745e-05,0.00036980168472994235,4.915496697777697e-05,0.0005020872698788259,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-18T14:16:57,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,9.34686691999923,0.0001705578146105561,1.8247612419911468e-05,29.27106519197406,118.51386878485222,20.0,7.89738090123302e-05,0.00031681942012201647,5.192383244999907e-05,0.0004477170615843455,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-18T14:17:06,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.837388539999665,0.00019194392816478893,2.171956581824799e-05,29.33794606648586,119.9362072478474,20.0,8.348908040232235e-05,0.0003712669636800059,4.909991644999547e-05,0.0005038559605323248,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-18T14:17:16,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,9.503998242000307,0.00016775032280315003,1.7650474270557596e-05,29.50123376811865,119.94788830171537,20.0,7.01963078236674e-05,0.00031735442054997565,5.279662115555963e-05,0.0004403473495292031,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_10,2026-09-18T14:17:25,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.900588943000912,0.00019256912077694407,2.163555332601546e-05,29.414491546600942,121.19527837228674,20.0,8.24040975898918e-05,0.0003736472433620297,4.944576044444045e-05,0.0005054971013963624,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_10,2026-09-18T14:17:34,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,9.378771882000365,0.0001704219258770621,1.8171044265368622e-05,29.55356328922822,121.19987545334288,20.0,7.9225561713732e-05,0.00031603386393797006,5.2100925777782796e-05,0.0004473603514294853,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_11,2026-09-18T14:17:43,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.833191718998933,0.00019143394657196704,2.167211474907803e-05,29.597643272359406,122.31614244459557,20.0,8.212145430822222e-05,0.00037132446372600825,4.907133244999671e-05,0.000502517250484228,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_11,2026-09-18T14:17:52,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,9.376682317000814,0.0001699948419013374,1.812955138455187e-05,29.722383430686254,122.28965921274634,20.0,7.75099175634405e-05,0.00031663997553399437,5.208935588888299e-05,0.000446239248986317,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_12,2026-09-18T14:18:01,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.84914788900096,0.000192575309120392,2.1762022645913925e-05,29.736129027000178,123.33417213278562,20.0,8.131045115941996e-05,0.0003750433555900212,4.915953914999896e-05,0.0005055133458994401,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_12,2026-09-18T14:18:12,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.61542543699943,0.00017692945644786923,1.6667212419730217e-05,29.81775053921858,123.0291349757913,20.0,6.878539808383025e-05,0.0003366849915699688,5.8972336288893885e-05,0.0004644427259426938,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_13,2026-09-18T14:18:21,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.83972500100026,0.00019123141739937378,2.1633199654914517e-05,29.643682127339346,123.93793163354665,20.0,8.159400971960006e-05,0.00037128140813602606,4.911019022777819e-05,0.0005019856080834065,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_13,2026-09-18T14:18:31,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.841490984001211,0.00018434446858885643,1.7003583710228894e-05,29.736767932831278,123.62735472408018,20.0,8.038466819657204e-05,0.00034329555241396914,6.022703385554764e-05,0.00048390725446608926,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_14,2026-09-18T14:18:40,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.83931642800053,0.00019130477233013105,2.164249086316431e-05,29.666595733979896,124.46380567687139,20.0,8.175710929452396e-05,0.0003713155748300556,4.910548185555136e-05,0.0005021781659801314,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_14,2026-09-18T14:18:51,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,10.834855506998792,0.00018330250933486746,1.691787161957356e-05,29.75358749604174,124.15318792411863,20.0,7.818679616049783e-05,0.0003427949964580068,6.0190301711109985e-05,0.0004811720943296155,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_15,2026-09-18T14:19:00,tdmpc2_HalfCheetah-v5_seed43611,20aefb8d-ae49-4d12-977e-13aaff29b5cc,8.845153194000886,0.0001913714290238313,2.1635746901836534e-05,29.66844022126229,124.92844520157884,20.0,8.152066604981412e-05,0.0003716952973559784,4.913717748889499e-05,0.0005023531408946888,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
