task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T11:32:10,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,90.00339999899734,0.0006122692505566253,6.802734369703358e-06,11.948299005980463,12.92157554795617,20.0,0.0004218169524532883,0.0006682455345963234,0.0005171543407667034,0.0016072168278163151,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T11:32:12,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,0.15443156399123836,1.6204644260987356e-06,1.0491738787228622e-05,20.107093660813238,22.64458133544187,20.0,1.5870471029716393e-06,1.8080570014511466e-06,8.586415999970462e-07,4.253745704419724e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T11:33:32,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,80.63684691800154,0.0014269157047118103,1.769558269939606e-05,24.151581998959074,47.511046258592856,20.0,0.0005625489908721651,0.002735149132561787,0.000447979011916646,0.003745677135350598,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T11:33:46,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,13.635205976999714,0.00030189611503528497,2.214094513718044e-05,24.475932211707754,68.98722169843055,20.0,0.00013009300212987046,0.0005866413026462958,7.574795020555023e-05,0.0007924822549817169,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T11:34:02,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,16.426953448011773,0.00029407847153003347,1.790220807078427e-05,26.047115444399722,77.87479651849242,20.0,0.00012263426477399086,0.0005580735020140892,9.125304573333565e-05,0.000771960812521416,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T11:34:16,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,13.544307545002084,0.0003001117798892279,2.2157783078118555e-05,26.23731444809523,88.95460576505003,20.0,0.0001277804691687326,0.0005847740789302058,7.52437978499478e-05,0.000787798345948886,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T11:34:31,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,14.579648145008832,0.0002712406073561279,1.860403317106204e-05,27.135176206391787,94.07559157289685,20.0,0.00010486343583512858,0.0005261531986993084,8.09944098444247e-05,0.0007120110443788628,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T11:34:44,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,13.59892606199719,0.00030077942741325034,2.2117893081020847e-05,27.052147742706566,100.97240598778629,20.0,0.00012417911295432849,0.0005898249163043268,7.554690239444922e-05,0.0007895509316531053,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T11:34:58,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,13.944713418997708,0.00027092794407929544,1.9428722782487488e-05,27.6178680533356,104.1723719370658,20.0,0.00011869243495386816,0.0005150334675825263,7.746439561112e-05,0.0007111902981475141,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T11:35:12,tdmpc2_HalfCheetah-v5_seed43611,900fb743-9731-4649-a554-7af9199472ee,13.576827233991935,0.0003026893692243842,2.2294574071241994e-05,27.914115321884516,108.9485686050908,20.0,0.00012818552115944487,0.0005909590838775181,7.541995520554744e-05,0.0007945645602425097,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
