task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-10T15:23:37,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,90.00284661099977,0.0006063139249295701,6.736608271237236e-06,11.764108838704537,13.08175388737807,20.0,0.0003982446399843492,0.0006763341521779931,0.0005170052081777814,0.0015915840003401236,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-10T15:23:38,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,0.1605559669987997,1.4974053976152604e-06,9.325128297975798e-06,20.155814571779107,18.907107309564175,20.0,1.672377449017659e-06,1.3652788700135865e-06,8.930574166698003e-07,3.930713735701046e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-10T15:24:47,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,69.38484287000028,0.0011832148128892044,1.705293154580889e-05,24.303769703207475,43.586222987495105,20.0,0.0004534789350050805,0.002267010980273987,0.00038546838079444375,0.003105958296073512,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-10T15:24:57,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.231014955001228,0.00022438738492329456,2.1932069331578e-05,24.309908422846306,65.8405170250495,20.0,9.209888784571935e-05,0.00044008479651203025,5.683688244444054e-05,0.0005890205668021902,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-10T15:25:11,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.5952108829988,0.00023846831745740144,1.7540624753832423e-05,25.592871393614715,74.67698876810518,20.0,0.00010160607989591341,0.000448851192413946,7.55259734111052e-05,0.0006259832457209645,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-10T15:25:21,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.14521774700006,0.0002229579718656615,2.1976661082995628e-05,25.868525059196212,85.99609421221717,20.0,9.510366024953476e-05,0.0004337953470360256,5.636932678888926e-05,0.0005852683340744494,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-10T15:25:35,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.604951065000932,0.00023936206840091115,1.7593722357682282e-05,26.78899671057352,90.19264790145522,20.0,0.00010090258322199841,0.00045184758369998246,7.55791896888897e-05,0.0006283293566108706,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-10T15:25:45,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.143415504000586,0.00022416590154567375,2.2099667070082175e-05,26.844748570474042,97.46199136770166,20.0,9.367304966060447e-05,0.00043842035073604624,5.6345768905551605e-05,0.0005884391693022021,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-10T15:25:58,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.606631201999335,0.00023970795244918682,1.7616999555328253e-05,27.43535788093255,99.72340402920194,20.0,9.982021152277892e-05,0.0004538275852839502,7.558951110556026e-05,0.0006292373079122898,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-10T15:26:08,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.138181674999942,0.0002237509167672784,2.2070132374364766e-05,27.404184241350116,104.71286841769634,20.0,9.564351512585806e-05,0.0004353853483080039,5.632096401666587e-05,0.0005873498274505274,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-10T15:26:22,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.608143706000192,0.00023994723206542277,1.763263168948112e-05,27.90641382295331,105.98852675029633,20.0,0.00010060079881391015,0.0004536670296000356,7.559759241667057e-05,0.0006298654208306154,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-10T15:26:32,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.16099526799917,0.00022533642163253143,2.2176621487923596e-05,27.85698086149612,109.81755344718366,20.0,9.54286380095079e-05,0.00043963535170798984,5.6447814016670744e-05,0.0005915118037341689,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-10T15:26:46,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.614969309001026,0.00024098306880008039,1.7699875146786813e-05,28.24596887906775,110.57843354937042,20.0,0.00010135712497452709,0.00045559203113998414,7.563535313888175e-05,0.0006325845092533932,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-10T15:26:56,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.166704174998813,0.00022560699255659566,2.2190782510554352e-05,28.19134279780291,113.60479060053007,20.0,9.526923482643807e-05,0.0004404728523780266,5.6479969644452526e-05,0.0005922220568489178,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-10T15:27:10,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.605744710999716,0.00024138663625638927,1.774149805398573e-05,28.50722922554248,114.04725817319859,20.0,0.00010196508462755743,0.0004560945315419396,7.558426427777811e-05,0.0006336438804472756,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-10T15:27:20,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.156994320999729,0.0002245659533898041,2.2109500449316263e-05,28.453431041201863,116.46628220740858,20.0,9.528274705946499e-05,0.0004377811835580836,5.6425381338885954e-05,0.000589489311956435,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-10T15:27:33,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.608529712000745,0.00024203252588285862,1.7785366909424247e-05,28.720588964951446,116.73736977403847,20.0,0.00010105025417347924,0.00045868925583997244,7.559984129999666e-05,0.0006353393513134492,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-10T15:27:44,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.151151026999287,0.00022551908944729287,2.221611614154091e-05,28.649334402475585,118.81365933691701,20.0,9.520140116105191e-05,0.00044039674120599503,5.639316737778141e-05,0.0005919913097448288,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-10T15:27:57,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.605467412000507,0.00024110677961707624,1.772132562616246e-05,28.879831837496738,118.90595350269814,20.0,0.0001013360846799094,0.0004559906425699589,7.558252492778292e-05,0.0006329092521776512,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-10T15:28:07,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.170902525000201,0.00022539691353990875,2.2160968301666365e-05,28.809811236849864,120.67169938693397,20.0,9.441496442079422e-05,0.0004407453525960281,5.651027896666277e-05,0.0005916705959834855,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-10T15:28:21,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.599357470999166,0.000240955218402626,1.771814352887708e-05,28.996854127827252,120.6770606949856,20.0,0.00010068453554756829,0.0004562781428000262,7.554872315555881e-05,0.0006325114015031524,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-10T15:28:31,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.15334998599974,0.00022473278263488838,2.213387084774832e-05,28.924220141149068,122.17233821819875,20.0,9.618681194938777e-05,0.0004373353498680066,5.640507964444624e-05,0.0005899272414618406,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-10T15:28:45,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.756419250999897,0.00024132376925823512,1.754260645303205e-05,29.111730596868313,122.12789331993048,20.0,9.430255821976652e-05,0.00046275509242593715,7.642120289999901e-05,0.0006334788535457027,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_10,2026-09-10T15:28:55,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.19681003200094,0.00022649236513234364,2.2212087713829272e-05,28.967599290765303,123.48527680402226,20.0,9.587558420040554e-05,0.0004420239647300317,5.664662545555588e-05,0.0005945461743859931,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_10,2026-09-10T15:29:09,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.808325177998995,0.0002402790451498521,1.740103917239519e-05,29.12849900546454,123.36193364409036,20.0,9.269838749197817e-05,0.0004613284246179905,7.670962351111373e-05,0.0006307364356210841,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_11,2026-09-10T15:29:19,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.16411968600005,0.0002264188529661152,2.2276291956660536e-05,28.976665127856897,124.60164571092636,20.0,9.510313469356102e-05,0.0004427850764500141,5.646499260000262e-05,0.0005943532037435764,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_11,2026-09-10T15:29:33,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.640613137999026,0.00024159222465574334,1.7711252688963954e-05,29.126932909871012,124.45887882522318,20.0,0.00010144547310075858,0.00045696008779000374,7.577799247777267e-05,0.000634183553368535,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_12,2026-09-10T15:29:43,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.156619007999325,0.00022728173579994893,2.23777079489185e-05,29.070087050850205,125.57759456786634,20.0,9.754816470514127e-05,0.00044264702078400386,5.642309985000272e-05,0.0005966182853391483,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_12,2026-09-10T15:29:56,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.606064868999965,0.00024221753468256849,1.78021859157595e-05,29.234604288467853,125.44396978281797,20.0,0.00010085431457226846,0.0004593937008479654,7.557698702777196e-05,0.0006358250024480067,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_13,2026-09-10T15:30:07,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.161074655999982,0.00022714954330216308,2.2354885499472727e-05,29.17387205090843,126.46810633060177,20.0,9.615848137117106e-05,0.0004436645215980528,5.6448274894440285e-05,0.000596271277863665,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_13,2026-09-10T15:30:20,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.633726855001441,0.0002413574638834102,1.770294682165659e-05,29.308841477690248,126.30330221054504,20.0,9.886367353532238e-05,0.0004589639782820454,7.573965067222141e-05,0.0006335673024895905,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_14,2026-09-10T15:30:30,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.156811340000786,0.0002265378226687046,2.2304035285744448e-05,29.232972589379017,127.2313847219759,20.0,9.550379584741947e-05,0.00044273729863397726,5.642440668333524e-05,0.0005946655011647324,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_14,2026-09-10T15:30:44,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.712750435000999,0.00024077287571642493,1.7558331723295202e-05,29.349853271553265,127.04814496241012,20.0,9.496275402570004e-05,0.00046089092426793155,7.617907066666393e-05,0.0006320327489602942,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_15,2026-09-10T15:30:54,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.132122297000024,0.00022433369419880105,2.214085719870106e-05,29.24511943973519,127.87405610745557,20.0,9.36311896271233e-05,0.0004389561844979628,5.6292253644439974e-05,0.0005888796277695278,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_15,2026-09-10T15:31:08,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.828556065000157,0.00023918517375872209,1.7296478083474317e-05,29.336106113141494,127.6697673073051,20.0,8.811085771084914e-05,0.00046293203701208707,7.682211054999347e-05,0.0006278650052729297,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_16,2026-09-10T15:31:18,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.15573945899996,0.0002254959570788216,2.2203807445909726e-05,29.18744930788031,128.46190988037765,20.0,9.268160303411294e-05,0.00044283035426395667,5.6418629600001394e-05,0.0005919305868980727,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_16,2026-09-10T15:31:32,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.625181289999091,0.00024287500301978932,1.782546069038956e-05,29.272810213164455,128.2768546207985,20.0,0.00010229074072142658,0.00045956786765399826,7.569225924444235e-05,0.0006375508676198689,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_17,2026-09-10T15:31:42,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.170199913000033,0.00022718533858379422,2.2338348072348873e-05,29.231835678713807,129.01092474839496,20.0,9.661660034877145e-05,0.00044325007682199935,5.6498563894446206e-05,0.0005963652410652179,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_17,2026-09-10T15:31:56,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,13.632845618998545,0.0002433935625452393,1.7853441827808897e-05,29.34284626268513,128.83147890135936,20.0,0.00010188662067589505,0.00046129953570595017,7.572593849999995e-05,0.0006389120948818439,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_18,2026-09-10T15:32:06,tdmpc2_HalfCheetah-v5_seed85062,4ed7ea80-ca7e-40ee-bde3-7d210b78be73,10.14213802499944,0.00022808501484537606,2.2488855249885803e-05,29.30055513197516,129.53880529190985,20.0,9.774223930483772e-05,0.00044464146682410277,5.634319988333421e-05,0.0005987269060122764,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
