task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T12:59:24,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,90.00375252899994,0.0006130967827535527,6.811902169479132e-06,14.085644039002464,12.997973908758828,20.0,0.00042007206216848614,0.0006721774821859955,0.0005171395690555528,0.0016093891134100345,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T12:59:25,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,0.15453477300070517,1.531480536512528e-06,9.908730064537012e-06,21.55754309180284,20.836010504790625,20.0,1.591539884340798e-06,1.5694457000114959e-06,8.591759500025872e-07,4.020161534354881e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-18T13:00:19,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,54.94339508600024,0.0009020992130450815,1.6418707885600263e-05,25.238394537760527,43.32161066695173,20.0,0.00037209829323395227,0.0016906894081059887,0.00030523753306111357,0.0023680252344010543,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T13:00:28,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.924219982000068,0.00019176246259322116,2.148786370507057e-05,25.25941697511325,64.65754098440961,20.0,8.195838917777337e-05,0.0003718430752519958,4.957814600000147e-05,0.000503379610429771,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T13:00:39,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.80302353099978,0.0001817100450328807,1.6820319066073284e-05,26.454624356982436,72.67329592351724,20.0,7.864440652658594e-05,0.000338334159556003,6.0013283327781304e-05,0.00047699184941037056,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T13:00:48,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.832663338000202,0.00019279147908164446,2.182711872770153e-05,26.54106464349756,84.05240663955418,20.0,8.324098992606305e-05,0.00037376613234600675,4.907367332221933e-05,0.0005060807955942891,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T13:00:59,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.808893142999295,0.00018149298902492847,1.6791054859247518e-05,27.37607879304037,87.59577334348815,20.0,7.89169617446267e-05,0.0003374591588559961,6.00459532277759e-05,0.0004764220738283989,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T13:01:08,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.839208479999797,0.00019063614604648577,2.1567118643343253e-05,27.341619862507187,94.57964450087094,20.0,8.192682026362391e-05,0.00036939196217999903,4.910422857222138e-05,0.0005004230110158443,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T13:01:19,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.810409337000237,0.0001813741048813768,1.6777737537654016e-05,27.87922106907792,96.3471267188659,20.0,7.899396763956512e-05,0.0003370633252059996,6.005270815555579e-05,0.00047611000100112027,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T13:01:27,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.827965074999156,0.00019243484109438252,2.179832909442957e-05,27.807521361285584,101.46011422173606,20.0,8.193636554904016e-05,0.0003741666882220024,4.904156125555559e-05,0.0005051446150265981,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-18T13:01:38,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.821306898999865,0.00018149339480696318,1.6771874329434983e-05,28.22057787435647,102.35069254302435,20.0,7.921923809756093e-05,0.00033708888078200216,6.011502013333393e-05,0.0004764231390128968,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-18T13:01:47,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.833163166000304,0.0001912509550341078,2.1651471014223392e-05,28.14118426974219,106.07054738844171,20.0,8.319534933401429e-05,0.0003697711291500011,4.9070416211109e-05,0.0005020368946951244,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-18T13:01:58,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.819233070999871,0.00018225607980724284,1.6845579610270297e-05,28.505133901495608,106.53559888871571,20.0,7.999224677152084e-05,0.00033832943732999,6.010351554999846e-05,0.00047842519965150994,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-18T13:02:07,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.815697320999789,0.00019332332170144025,2.1929451043873254e-05,28.43596253624545,109.62794899526048,20.0,8.404585556996691e-05,0.0003744575217879964,4.8973513838887353e-05,0.0005074768911968505,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-18T13:02:17,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.81357127999945,0.00018205300680499423,1.6835568532116053e-05,28.758653837424713,109.81627650996725,20.0,7.948592719980024e-05,0.00033833388177800794,6.007232071111109e-05,0.0004778921296889199,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-18T13:02:26,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.828902494999966,0.00019147387120693618,2.1687195960284296e-05,28.67069130429902,112.252978220953,20.0,8.269704893536234e-05,0.00037088029670401257,4.904470766666446e-05,0.0005026220533060396,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-18T13:02:37,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.806118272000276,0.00018212820080147282,1.6854187916661017e-05,28.91357418660188,112.29053257267658,20.0,7.909481105358024e-05,0.00033896388228198127,6.003082182777595e-05,0.0004780895151633366,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-18T13:02:46,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.899069426999631,0.00019292999603204644,2.167979257826323e-05,28.82033850698668,114.3467417865894,20.0,8.287267740920284e-05,0.0003741352993080066,4.9436428144443e-05,0.0005064444048616529,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-18T13:02:57,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,10.81903001899991,0.00018315448108267938,1.6928934407322487e-05,29.02440186726826,114.29128889570897,20.0,8.038493958568288e-05,0.000340296105570001,6.0102472583336425e-05,0.0004807835177390203,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-18T13:03:06,tdmpc2_HalfCheetah-v5_seed958,9e71e202-94bc-4ce2-8767-6d5e2220f1fd,8.844223310000416,0.00019303715932996682,2.1826364131992778e-05,28.952706643400056,116.11400604063203,20.0,8.287362657662806e-05,0.00037472974422800287,4.91223394722207e-05,0.0005067257102768525,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
