task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-19T09:47:17,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,90.00331291499606,0.0006106583208107788,6.784842403061746e-06,13.974356201061884,12.966607423541166,20.0,0.0004152888641752728,0.0006705577586676448,0.0005171414879610692,0.001602988110803987,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-19T09:47:17,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,0.15425796499766875,2.1539946787242246e-06,1.396223861684629e-05,21.308731077823097,33.75762397767079,20.0,1.5655659746718897e-06,3.2313914739567906e-06,8.573139222183479e-07,5.654271370847137e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
world_model_pretrain_0,2026-09-19T09:48:28,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,70.97322239699133,0.0013305773146880875,1.8747598963120786e-05,24.944462017236066,57.84876173189493,20.0,0.0005331787729315612,0.0025653156633618224,0.0003942928446833522,0.003492787280976736,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-19T09:48:42,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,13.621955585011165,0.00030187303329742236,2.216077250425548e-05,25.456234036617424,77.46754516912078,20.0,0.0001266920616313505,0.0005900543609320685,7.567524247772072e-05,0.00079242166504114,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-19T09:48:56,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,13.910111022007186,0.0002687337212834446,1.931932607964257e-05,26.750602779010553,86.66571990139106,20.0,0.0001156163194374199,0.0005125412433661936,7.727286450560011e-05,0.0007054304273092131,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-19T09:49:09,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,13.55464890600706,0.00029886810281065527,2.204913083786998e-05,27.23818534908379,96.42854585343912,20.0,0.00012562718633500614,0.0005836057446617637,7.530074221665721e-05,0.0007845336732134273,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-19T09:49:23,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,13.695993528002873,0.00027135728760072564,1.9812870238634605e-05,27.998431803266804,101.17993372128474,20.0,0.00012478151176957553,0.0005114501313823183,7.608568878333445e-05,0.0007123173319352289,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-19T09:49:37,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,13.604569243994774,0.0003018942600314829,2.219065718639826e-05,28.542889604746613,107.20861628864753,20.0,0.00012948083775124464,0.0005874151921538839,7.558135566117317e-05,0.0007924773855663026,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-19T09:49:51,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,13.819682881003246,0.0002721620552189525,1.9693813019035253e-05,29.093263850356966,109.96671309211038,20.0,0.00012024596341891902,0.0005174112472619008,7.677264945555695e-05,0.0007144298601363761,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-19T09:50:04,tdmpc2_HalfCheetah-v5_seed958,fbcf8836-6b0a-4cdd-9f71-9a6ce8341f34,13.570266349997837,0.00030238429806528355,2.2282859170633924e-05,29.320274988548295,114.1024464188506,20.0,0.00013238198590551087,0.0005859938021282041,7.538795541105268e-05,0.000793763743444767,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
