task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-07-29T11:37:04,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,3.002558399999998,4.802292074192605e-05,1.5993333144588607e-05,14.1616466304,14.719476837629008,20.0,3.278382761585713e-05,5.5543655545999774e-05,3.7733471666666674e-05,0.00012606095482852356,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-07-29T11:37:05,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,0.011052900000009913,3.0058781180524634e-07,2.7132781972593686e-05,12.982445491200002,95.72844552871403,20.0,3.452459909387436e-08,7.008338940000386e-07,5.36894444444952e-08,7.890479375383878e-07,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-07-29T11:37:05,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,0.04298029999998221,1.4225371767563247e-07,3.3096422114501226e-06,12.616095804,71.79633414653553,20.0,1.379633427631339e-07,0.0,2.3545500000005245e-07,3.734183427631728e-07,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-07-29T11:37:07,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,1.783192999999983,1.931913485896452e-05,1.0834066960540677e-05,20.60114025408,63.40663729515084,20.0,2.6029276914652542e-05,1.4780567380000015e-05,9.903201666666598e-06,5.071304596131914e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-07-29T11:37:07,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,0.04118460000000823,5.072615491720777e-07,1.2313578227907042e-05,33.1676168784,52.838864412625696,20.0,1.1053626666663756e-06,0.0,2.2620722222212994e-07,1.3315698888884987e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-07-29T11:37:09,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,1.939179700000011,2.1081402771541336e-05,1.0871306513903673e-05,35.97224303862857,49.56791797977505,20.0,2.844445413333312e-05,1.6124735121999904e-05,1.0769838888888867e-05,5.5339028144221904e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-07-29T11:37:09,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,0.03970699999999283,4.891582972389659e-07,1.23105455717556e-05,43.4757126588,43.37192823230317,20.0,1.0660213333335436e-06,0.0,2.1802722222222178e-07,1.2840485555557586e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-07-29T11:37:11,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,2.107512200000002,1.955501495897473e-05,9.278712211091274e-06,42.9117445856,41.80768270373236,20.0,2.248234026666675e-05,1.7145013716000218e-05,1.170488111111105e-05,5.133223509377801e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-07-29T11:37:11,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,0.04024760000001493,7.957910332168566e-07,1.976570577173037e-05,48.22057012704,44.72178384877808,20.0,1.0811333333337388e-06,7.866672959997226e-07,2.2116388888898816e-07,2.0889645182224767e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-07-29T11:37:13,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,1.8869529000000114,2.0199399764899163e-05,1.0704762496869504e-05,48.636881933672726,43.235111265154224,20.0,2.7678530000000283e-05,1.4865567448000237e-05,1.047965833333345e-05,5.302375578133397e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
idle_baseline_tail,2026-07-29T11:37:16,sac_Pendulum-v1_seed0,299f67b1-a2df-48e6-8926-10a1049eba80,3.0021476000000007,1.867434631154299e-05,6.220373517789838e-06,45.3856170096,42.06325789531549,20.0,8.02468432126486e-06,2.432224168000003e-05,1.667353944444443e-05,4.902046544570936e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
