task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-07-29T11:46:46,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,3.0022744999999986,4.5218441180861754e-05,1.5061180972810317e-05,9.659572330971429,44.640009607308826,20.0,1.8093055742560816e-05,6.292255033799998e-05,3.768354388888863e-05,0.00011869914996944941,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-07-29T11:46:46,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,0.011207100000092396,7.134110014791117e-07,6.349558559235137e-05,9.649593287314287,244.07682287373237,20.0,3.0731375801435016e-08,1.7872236519984527e-06,5.4760555555176784e-08,1.8727155833550611e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-07-29T11:46:47,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,0.38066459999993185,4.2146030414146054e-06,1.1071624107818988e-05,9.654569076685714,201.8335445003058,20.0,1.022073563531834e-06,7.930284122000843e-06,2.111044444443955e-06,1.1063402129976642e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-07-29T11:46:50,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,3.131083500000045,4.817781975199321e-05,1.5386936446551326e-05,9.649563427268571,184.62408586219817,20.0,8.375770601277424e-06,0.00010069869167000055,1.7393104999999622e-05,0.00012646756727127762,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-07-29T11:46:50,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,0.2564405999999053,2.995694261985867e-06,1.1681419780446088e-05,9.708370323257144,167.26118060541816,20.0,7.131136707961252e-07,5.727504581999089e-06,1.4231283333338582e-06,7.863746586129062e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-07-29T11:46:53,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,2.9483765999999605,4.603005332843095e-05,1.5612014096866126e-05,9.69792902542041,160.2222128138271,20.0,7.891594027968189e-06,9.656952170000038e-05,1.6368529444445008e-05,0.00012082964517241357,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-07-29T11:46:53,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,0.25419110000007095,3.1275920001275345e-06,1.2302906547971452e-05,9.698550870042858,151.02719714446596,20.0,6.855648658226661e-07,6.114171558000217e-06,1.4102438888888497e-06,8.20998031271172e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-07-29T11:46:56,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,2.978514799999971,4.634766094319145e-05,1.5560747824899594e-05,9.69272593497143,147.2923622402226,20.0,7.981337662609235e-06,9.713674437599948e-05,1.6545288333333648e-05,0.00012166337037194236,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-07-29T11:46:57,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,0.2534032999999454,4.224460284099483e-06,1.6671232408515965e-05,9.697649137954286,145.3558197358961,20.0,6.862275781896238e-07,8.99722942000053e-06,1.4058205555556903e-06,1.1089277553745871e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-07-29T11:47:00,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,2.9432716000000028,4.507518596978579e-05,1.5314723131770463e-05,9.692162564976625,142.60479429168896,20.0,7.879847415413804e-06,9.409340860799895e-05,1.6349846666666832e-05,0.00011832310269007957,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
idle_baseline_tail,2026-07-29T11:47:03,sac_Pendulum-v1_seed0,d103749b-4f54-4411-b3e9-568bdbcd47af,3.00216869999997,2.4920875002099746e-05,8.301048264370667e-06,9.684660162428573,134.7928252312894,20.0,8.00785759628341e-06,4.073669925600074e-05,1.6673148888888707e-05,6.541770574117276e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
