task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-07-29T12:07:01,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,3.001186299999972,4.0628401944023364e-05,1.353728149834064e-05,9.757791363428572,44.919409295737296,20.0,1.666055132783078e-05,5.528504422800534e-05,3.470462611111063e-05,0.00010665022166694675,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-07-29T12:07:01,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,0.009629000000131782,3.3913924657054373e-08,3.513122148133673e-06,9.711109157485714,29.946272863824863,20.0,2.9839053073516756e-08,0.0,5.918555555505943e-08,8.902460862857619e-08,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-07-29T12:07:02,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,0.37586830000009286,5.186032770717706e-06,1.3798100872681785e-05,9.695682467314285,47.663311438647625,20.0,1.0078388023465837e-06,1.051973063800199e-05,2.0858516666673226e-06,1.3613421107015896e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-07-29T12:07:05,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,3.1323668,4.8074563036158835e-05,1.5347740675882573e-05,9.681266554491428,61.21944316528085,20.0,8.374405247259342e-06,0.00010042480256199776,1.7397308888889208e-05,0.00012619651669814631,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-07-29T12:07:05,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,0.25742189999982656,4.538582023985176e-06,1.7631449820066003e-05,9.698634450342857,73.83977146797166,20.0,7.001933352017198e-07,9.785285606002392e-06,1.4283733333336898e-06,1.1913852274537788e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-07-29T12:07:08,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,2.9523664000000736,4.5625574675828244e-05,1.5453935447371026e-05,9.689443994693878,79.91370981508007,20.0,7.904691819317265e-06,9.545646525399576e-05,1.6406724999999114e-05,0.00011976788207331213,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-07-29T12:07:08,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,0.25748189999990245,4.389415209879081e-06,1.70455775973318e-05,9.684664698557144,86.36861773476556,20.0,6.907644179985064e-07,9.402785300004213e-06,1.4287372222232373e-06,1.152228694022595e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-07-29T12:07:11,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,2.9490012999999635,4.707110598001248e-05,1.596178606256888e-05,9.678857074628574,90.25010142817166,20.0,7.8910426895831e-06,9.929980166199781e-05,1.637158111111097e-05,0.0001235624254626919,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-07-29T12:07:12,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,0.2566767999999229,3.252550506234621e-06,1.2672860613691599e-05,9.678379087165716,90.23764699684389,20.0,6.903738584670201e-07,6.423060694000365e-06,1.4245638888888215e-06,8.537998441356153e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-07-29T12:07:14,sac_Pendulum-v1_seed0,8dac3f86-11a3-428d-bae5-3d19359ff79b,2.951823099999956,4.685943002710391e-05,1.587480326983723e-05,9.674284588332469,92.97133235047585,20.0,7.903770878587068e-06,9.869646784600034e-05,1.640653388888924e-05,0.0001230067726134766,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
